step 0: train loss 10.9286, val loss 10.9274
iter 0: loss 10.9333, time 12478.42ms, mfu -100.00%
iter 1: loss 10.9092, time 558.39ms, mfu -100.00%
iter 2: loss 10.9077, time 726.93ms, mfu -100.00%
iter 3: loss 10.8632, time 731.97ms, mfu -100.00%
iter 4: loss 10.8188, time 726.74ms, mfu -100.00%
iter 5: loss 10.7885, time 734.33ms, mfu 53.72%
iter 6: loss 10.7353, time 728.94ms, mfu 53.76%
iter 7: loss 10.6331, time 726.22ms, mfu 53.81%
iter 8: loss 10.6049, time 726.81ms, mfu 53.86%
iter 9: loss 10.5314, time 733.50ms, mfu 53.85%
iter 10: loss 10.4555, time 726.10ms, mfu 53.90%
iter 11: loss 10.3807, time 729.28ms, mfu 53.92%
iter 12: loss 10.3010, time 726.89ms, mfu 53.95%
iter 13: loss 10.1911, time 730.14ms, mfu 53.96%
iter 14: loss 10.2330, time 731.75ms, mfu 53.96%
iter 15: loss 10.1060, time 733.42ms, mfu 53.94%
iter 16: loss 10.0688, time 732.27ms, mfu 53.93%
iter 17: loss 9.9941, time 728.76ms, mfu 53.95%
iter 18: loss 10.0401, time 726.27ms, mfu 53.99%
iter 19: loss 9.8725, time 727.55ms, mfu 54.01%
iter 20: loss 9.8393, time 727.00ms, mfu 54.04%
iter 21: loss 9.8156, time 729.87ms, mfu 54.04%
iter 22: loss 9.8514, time 728.54ms, mfu 54.05%
iter 23: loss 9.7696, time 733.92ms, mfu 54.02%
iter 24: loss 9.6926, time 726.48ms, mfu 54.05%
iter 25: loss 9.7298, time 727.05ms, mfu 54.07%
iter 26: loss 9.7096, time 727.09ms, mfu 54.09%
iter 27: loss 9.7769, time 726.64ms, mfu 54.11%
iter 28: loss 9.6506, time 727.86ms, mfu 54.11%
iter 29: loss 9.7553, time 727.54ms, mfu 54.13%
iter 30: loss 9.5889, time 727.31ms, mfu 54.14%
iter 31: loss 9.5763, time 727.72ms, mfu 54.14%
