step 0: train loss 11.1547, val loss 11.1629
iter 0: loss 11.1633, time 34216.92ms, mfu -100.00%
iter 1: loss 11.1690, time 5135.51ms, mfu -100.00%
iter 2: loss 11.0781, time 5562.67ms, mfu -100.00%
iter 3: loss 10.9668, time 5561.43ms, mfu -100.00%
iter 4: loss 10.7629, time 5570.57ms, mfu -100.00%
iter 5: loss 10.6067, time 5575.19ms, mfu 32.21%
iter 6: loss 10.1955, time 5579.43ms, mfu 32.20%
iter 7: loss 10.0720, time 5601.48ms, mfu 32.19%
iter 8: loss 9.9153, time 5606.75ms, mfu 32.17%
iter 9: loss 9.7073, time 5628.46ms, mfu 32.15%
iter 10: loss 9.4903, time 5618.70ms, mfu 32.13%
iter 11: loss 9.4704, time 5622.30ms, mfu 32.11%
iter 12: loss 9.2639, time 5628.66ms, mfu 32.09%
iter 13: loss 9.3361, time 5626.10ms, mfu 32.07%
iter 14: loss 9.2186, time 5632.14ms, mfu 32.05%
iter 15: loss 9.2475, time 5637.51ms, mfu 32.03%
iter 16: loss 9.2282, time 5633.34ms, mfu 32.02%
iter 17: loss 9.1274, time 5636.82ms, mfu 32.00%
iter 18: loss 9.1111, time 5641.88ms, mfu 31.98%
iter 19: loss 8.8703, time 5644.18ms, mfu 31.96%
iter 20: loss 9.0563, time 5640.96ms, mfu 31.95%
iter 21: loss 9.3982, time 5645.75ms, mfu 31.94%
iter 22: loss 8.8939, time 5637.05ms, mfu 31.93%
iter 23: loss 8.7175, time 5633.90ms, mfu 31.92%
iter 24: loss 8.8059, time 5636.68ms, mfu 31.92%
iter 25: loss 8.7543, time 5636.12ms, mfu 31.91%
iter 26: loss 8.8745, time 5636.25ms, mfu 31.90%
iter 27: loss 8.7185, time 5621.83ms, mfu 31.91%
iter 28: loss 9.1889, time 5632.37ms, mfu 31.91%
iter 29: loss 8.3313, time 5634.52ms, mfu 31.90%
iter 30: loss 8.6292, time 5640.25ms, mfu 31.89%
