step 0: train loss 11.1547, val loss 11.1629
iter 0: loss 11.1633, time 22078.10ms, mfu -100.00%
iter 1: loss 11.1998, time 5122.55ms, mfu -100.00%
iter 2: loss 11.1705, time 5550.98ms, mfu -100.00%
iter 3: loss 11.1540, time 5571.24ms, mfu -100.00%
iter 4: loss 11.0681, time 5570.99ms, mfu -100.00%
iter 5: loss 11.0656, time 5574.24ms, mfu 32.21%
iter 6: loss 10.8460, time 5578.78ms, mfu 32.21%
iter 7: loss 10.8425, time 5591.24ms, mfu 32.20%
iter 8: loss 10.8202, time 5603.46ms, mfu 32.18%
iter 9: loss 10.6977, time 5603.91ms, mfu 32.17%
iter 10: loss 10.5722, time 5619.61ms, mfu 32.15%
iter 11: loss 10.3899, time 5618.35ms, mfu 32.13%
iter 12: loss 10.2371, time 5645.52ms, mfu 32.10%
iter 13: loss 10.2938, time 5639.16ms, mfu 32.07%
iter 14: loss 10.1227, time 5640.06ms, mfu 32.05%
iter 15: loss 10.0726, time 5638.91ms, mfu 32.03%
iter 16: loss 9.9650, time 5640.54ms, mfu 32.01%
iter 17: loss 9.8170, time 5654.63ms, mfu 31.98%
iter 18: loss 9.7399, time 5646.40ms, mfu 31.96%
iter 19: loss 9.6345, time 5652.47ms, mfu 31.94%
iter 20: loss 9.7015, time 5665.32ms, mfu 31.92%
iter 21: loss 9.9036, time 5655.52ms, mfu 31.90%
iter 22: loss 9.5763, time 5668.03ms, mfu 31.88%
iter 23: loss 9.4714, time 5648.87ms, mfu 31.87%
iter 24: loss 9.4611, time 5642.96ms, mfu 31.87%
iter 25: loss 9.3534, time 5663.78ms, mfu 31.85%
iter 26: loss 9.3914, time 5638.06ms, mfu 31.85%
iter 27: loss 9.3214, time 5647.00ms, mfu 31.84%
iter 28: loss 9.6217, time 5646.97ms, mfu 31.84%
iter 29: loss 8.9570, time 5630.86ms, mfu 31.84%
iter 30: loss 9.1821, time 5643.30ms, mfu 31.84%
iter 31: loss 8.9226, time 5625.61ms, mfu 31.85%
iter 32: loss 9.2085, time 5648.55ms, mfu 31.84%
iter 33: loss 9.1529, time 5631.98ms, mfu 31.85%
iter 34: loss 8.8114, time 5639.66ms, mfu 31.85%
iter 35: loss 8.9417, time 5632.95ms, mfu 31.85%
iter 36: loss 9.0671, time 5640.79ms, mfu 31.85%
iter 37: loss 8.9972, time 5625.10ms, mfu 31.85%
iter 38: loss 8.8634, time 5633.02ms, mfu 31.86%
iter 39: loss 8.8945, time 5623.50ms, mfu 31.86%
