step 0: train loss 10.9844, val loss 10.9843
iter 0: loss 11.0406, time 86595.43ms, mfu -100.00%
iter 1: loss 10.9624, time 11266.08ms, mfu -100.00%
iter 2: loss 10.9043, time 11883.21ms, mfu -100.00%
iter 3: loss 10.9086, time 11958.64ms, mfu -100.00%
iter 4: loss 10.8620, time 11992.81ms, mfu -100.00%
iter 5: loss 10.7986, time 12059.33ms, mfu 7.94%
iter 6: loss 10.6838, time 12058.07ms, mfu 7.94%
iter 7: loss 10.6254, time 12056.05ms, mfu 7.94%
iter 8: loss 10.4929, time 12055.98ms, mfu 7.94%
iter 9: loss 10.4602, time 12053.51ms, mfu 7.94%
iter 10: loss 10.3518, time 12040.02ms, mfu 7.94%
iter 11: loss 10.2520, time 12052.79ms, mfu 7.94%
iter 12: loss 10.1471, time 12056.25ms, mfu 7.94%
iter 13: loss 10.0426, time 12057.18ms, mfu 7.94%
iter 14: loss 10.0608, time 12051.67ms, mfu 7.94%
iter 15: loss 10.0288, time 12054.85ms, mfu 7.94%
iter 16: loss 9.8229, time 12034.47ms, mfu 7.94%
iter 17: loss 9.7332, time 12021.38ms, mfu 7.95%
iter 18: loss 9.7030, time 12049.47ms, mfu 7.95%
iter 19: loss 9.6286, time 12038.33ms, mfu 7.95%
iter 20: loss 9.5659, time 12056.70ms, mfu 7.95%
iter 21: loss 9.5356, time 12039.57ms, mfu 7.95%
iter 22: loss 9.4810, time 12029.58ms, mfu 7.95%
iter 23: loss 9.3900, time 12070.51ms, mfu 7.95%
iter 24: loss 9.4977, time 11995.37ms, mfu 7.95%
iter 25: loss 9.3903, time 12025.75ms, mfu 7.95%
iter 26: loss 9.4507, time 12007.99ms, mfu 7.95%
iter 27: loss 9.4955, time 12043.64ms, mfu 7.95%
iter 28: loss 9.4827, time 12016.37ms, mfu 7.95%
iter 29: loss 9.3239, time 12034.26ms, mfu 7.95%
iter 30: loss 9.2496, time 12025.55ms, mfu 7.96%
iter 31: loss 9.3392, time 12028.16ms, mfu 7.96%
