step 0: train loss 10.9844, val loss 10.9843
iter 0: loss 11.0406, time 75279.27ms, mfu -100.00%
iter 1: loss 10.9624, time 10941.02ms, mfu -100.00%
iter 2: loss 10.9043, time 11795.31ms, mfu -100.00%
iter 3: loss 10.9086, time 11866.11ms, mfu -100.00%
iter 4: loss 10.8620, time 11922.94ms, mfu -100.00%
iter 5: loss 10.7986, time 11982.24ms, mfu 7.99%
iter 6: loss 10.6837, time 12069.79ms, mfu 7.98%
iter 7: loss 10.6252, time 12083.40ms, mfu 7.98%
iter 8: loss 10.4930, time 12001.47ms, mfu 7.98%
iter 9: loss 10.4602, time 11966.65ms, mfu 7.98%
iter 10: loss 10.3518, time 11951.46ms, mfu 7.98%
iter 11: loss 10.2520, time 11955.74ms, mfu 7.99%
iter 12: loss 10.1472, time 11861.63ms, mfu 7.99%
iter 13: loss 10.0425, time 11833.46ms, mfu 8.00%
iter 14: loss 10.0608, time 11822.66ms, mfu 8.01%
iter 15: loss 10.0289, time 11851.50ms, mfu 8.02%
iter 16: loss 9.8229, time 11863.58ms, mfu 8.03%
iter 17: loss 9.7332, time 11889.80ms, mfu 8.03%
iter 18: loss 9.7029, time 11941.91ms, mfu 8.03%
iter 19: loss 9.6286, time 11964.32ms, mfu 8.02%
iter 20: loss 9.5659, time 11938.63ms, mfu 8.02%
iter 21: loss 9.5356, time 11935.90ms, mfu 8.02%
iter 22: loss 9.4810, time 12036.17ms, mfu 8.02%
iter 23: loss 9.3900, time 12005.62ms, mfu 8.01%
iter 24: loss 9.4976, time 12013.08ms, mfu 8.01%
iter 25: loss 9.3903, time 12076.65ms, mfu 8.00%
iter 26: loss 9.4507, time 12048.82ms, mfu 7.99%
iter 27: loss 9.4955, time 12064.61ms, mfu 7.99%
iter 28: loss 9.4827, time 12082.27ms, mfu 7.98%
iter 29: loss 9.3240, time 12065.64ms, mfu 7.98%
iter 30: loss 9.2497, time 12073.82ms, mfu 7.97%
iter 31: loss 9.3392, time 12042.20ms, mfu 7.97%
iter 32: loss 9.2923, time 12038.41ms, mfu 7.97%
iter 33: loss 9.2956, time 12053.19ms, mfu 7.97%
iter 34: loss 9.3815, time 12046.58ms, mfu 7.96%
iter 35: loss 9.2632, time 12047.28ms, mfu 7.96%
iter 36: loss 9.2915, time 12057.05ms, mfu 7.96%
iter 37: loss 9.2571, time 12048.94ms, mfu 7.96%
iter 38: loss 9.3323, time 12058.64ms, mfu 7.96%
iter 39: loss 9.1921, time 12058.57ms, mfu 7.96%
iter 40: loss 9.1994, time 12043.47ms, mfu 7.95%
iter 41: loss 9.1942, time 12050.00ms, mfu 7.95%
iter 42: loss 9.1650, time 12074.01ms, mfu 7.95%
iter 43: loss 9.2239, time 12039.25ms, mfu 7.95%
iter 44: loss 9.0829, time 12055.78ms, mfu 7.95%
iter 45: loss 9.1703, time 12049.42ms, mfu 7.95%
iter 46: loss 9.2930, time 12055.30ms, mfu 7.95%
iter 47: loss 9.2880, time 12024.57ms, mfu 7.95%
iter 48: loss 9.2026, time 12028.30ms, mfu 7.95%
iter 49: loss 9.2611, time 12034.93ms, mfu 7.95%
iter 50: loss 9.2152, time 12047.53ms, mfu 7.95%
iter 51: loss 9.3008, time 12048.06ms, mfu 7.95%
iter 52: loss 9.0705, time 12057.30ms, mfu 7.95%
iter 53: loss 9.0745, time 12035.93ms, mfu 7.95%
iter 54: loss 9.0510, time 12039.61ms, mfu 7.95%
iter 55: loss 9.0664, time 12053.49ms, mfu 7.95%
iter 56: loss 9.1517, time 12030.04ms, mfu 7.95%
iter 57: loss 9.1013, time 12043.96ms, mfu 7.95%
iter 58: loss 9.0125, time 12034.73ms, mfu 7.95%
iter 59: loss 9.0745, time 12023.63ms, mfu 7.95%
iter 60: loss 9.0284, time 11996.27ms, mfu 7.96%
iter 61: loss 8.9973, time 12031.01ms, mfu 7.96%
iter 62: loss 9.1028, time 12030.36ms, mfu 7.96%
iter 63: loss 9.0826, time 12015.90ms, mfu 7.96%
iter 64: loss 9.0172, time 12001.96ms, mfu 7.96%
iter 65: loss 8.9030, time 12056.33ms, mfu 7.96%
iter 66: loss 9.0377, time 12032.14ms, mfu 7.96%
iter 67: loss 8.9917, time 12032.31ms, mfu 7.96%
iter 68: loss 8.9319, time 12002.27ms, mfu 7.96%
iter 69: loss 8.8994, time 12038.54ms, mfu 7.96%
iter 70: loss 8.9521, time 12034.88ms, mfu 7.96%
iter 71: loss 8.8692, time 11998.45ms, mfu 7.96%
iter 72: loss 9.1174, time 12057.78ms, mfu 7.96%
iter 73: loss 8.8587, time 12047.51ms, mfu 7.96%
iter 74: loss 8.8713, time 11996.77ms, mfu 7.96%
iter 75: loss 9.1915, time 12020.58ms, mfu 7.96%
iter 76: loss 9.0580, time 12037.34ms, mfu 7.96%
iter 77: loss 8.8411, time 12028.58ms, mfu 7.96%
iter 78: loss 8.9028, time 12025.53ms, mfu 7.96%
iter 79: loss 8.9999, time 12044.32ms, mfu 7.96%
iter 80: loss 8.9199, time 12025.74ms, mfu 7.96%
iter 81: loss 8.7731, time 12014.00ms, mfu 7.96%
iter 82: loss 8.7990, time 12017.82ms, mfu 7.96%
iter 83: loss 8.7130, time 12017.29ms, mfu 7.96%
iter 84: loss 8.7688, time 11997.84ms, mfu 7.96%
iter 85: loss 8.7057, time 11992.67ms, mfu 7.97%
iter 86: loss 8.7928, time 12012.42ms, mfu 7.97%
iter 87: loss 8.7280, time 11973.34ms, mfu 7.97%
iter 88: loss 8.7077, time 11993.21ms, mfu 7.97%
iter 89: loss 8.6036, time 11999.71ms, mfu 7.97%
iter 90: loss 8.7504, time 12000.78ms, mfu 7.97%
iter 91: loss 8.7526, time 12001.68ms, mfu 7.97%
iter 92: loss 8.5597, time 11994.28ms, mfu 7.97%
iter 93: loss 8.8968, time 11995.86ms, mfu 7.97%
iter 94: loss 8.6925, time 12020.75ms, mfu 7.97%
iter 95: loss 8.8011, time 12001.12ms, mfu 7.97%
iter 96: loss 8.5127, time 11979.48ms, mfu 7.98%
iter 97: loss 8.5351, time 11992.75ms, mfu 7.98%
iter 98: loss 8.4147, time 12004.80ms, mfu 7.98%
iter 99: loss 8.5558, time 12000.86ms, mfu 7.98%
iter 100: loss 8.4468, time 12010.22ms, mfu 7.98%
iter 101: loss 8.4092, time 11990.77ms, mfu 7.98%
iter 102: loss 8.4518, time 11995.95ms, mfu 7.98%
iter 103: loss 8.6644, time 11983.54ms, mfu 7.98%
iter 104: loss 8.3128, time 12015.07ms, mfu 7.98%
iter 105: loss 8.5021, time 11993.01ms, mfu 7.98%
iter 106: loss 8.3980, time 12010.32ms, mfu 7.98%
iter 107: loss 8.3885, time 12047.14ms, mfu 7.97%
iter 108: loss 8.3945, time 12015.53ms, mfu 7.97%
iter 109: loss 8.4133, time 12016.12ms, mfu 7.97%
iter 110: loss 8.3503, time 12028.92ms, mfu 7.97%
iter 111: loss 8.2433, time 12023.14ms, mfu 7.97%
iter 112: loss 8.2967, time 12015.23ms, mfu 7.97%
iter 113: loss 8.2981, time 12002.34ms, mfu 7.97%
iter 114: loss 8.0758, time 12042.08ms, mfu 7.97%
iter 115: loss 8.1706, time 12026.69ms, mfu 7.97%
iter 116: loss 8.2724, time 12015.62ms, mfu 7.97%
iter 117: loss 8.2728, time 12029.80ms, mfu 7.97%
iter 118: loss 8.1959, time 12061.70ms, mfu 7.96%
iter 119: loss 8.2656, time 11999.05ms, mfu 7.97%
iter 120: loss 8.3762, time 12009.53ms, mfu 7.97%
iter 121: loss 8.3798, time 12037.84ms, mfu 7.97%
iter 122: loss 8.0796, time 12009.79ms, mfu 7.97%
iter 123: loss 7.9809, time 12027.46ms, mfu 7.97%
iter 124: loss 8.1152, time 11993.41ms, mfu 7.97%
iter 125: loss 8.0620, time 12036.45ms, mfu 7.97%
iter 126: loss 8.1537, time 12040.64ms, mfu 7.96%
iter 127: loss 8.0942, time 12008.27ms, mfu 7.97%
iter 128: loss 8.0918, time 12005.08ms, mfu 7.97%
iter 129: loss 8.0540, time 12025.90ms, mfu 7.97%
iter 130: loss 8.1010, time 12029.70ms, mfu 7.97%
iter 131: loss 7.9391, time 12042.55ms, mfu 7.96%
iter 132: loss 7.9218, time 12039.52ms, mfu 7.96%
iter 133: loss 7.9865, time 12030.39ms, mfu 7.96%
iter 134: loss 8.0835, time 12018.65ms, mfu 7.96%
iter 135: loss 7.9761, time 12020.98ms, mfu 7.96%
iter 136: loss 7.8015, time 12080.16ms, mfu 7.96%
iter 137: loss 8.2312, time 12051.67ms, mfu 7.96%
iter 138: loss 7.8148, time 12027.43ms, mfu 7.96%
iter 139: loss 7.8610, time 12066.15ms, mfu 7.96%
iter 140: loss 7.9037, time 12059.09ms, mfu 7.95%
iter 141: loss 7.9033, time 12050.05ms, mfu 7.95%
iter 142: loss 7.6564, time 12052.72ms, mfu 7.95%
iter 143: loss 7.9775, time 12063.00ms, mfu 7.95%
iter 144: loss 7.8676, time 12058.39ms, mfu 7.95%
iter 145: loss 7.9678, time 12071.09ms, mfu 7.95%
iter 146: loss 7.7622, time 12038.82ms, mfu 7.95%
iter 147: loss 7.7593, time 12074.33ms, mfu 7.95%
iter 148: loss 7.5684, time 12061.08ms, mfu 7.95%
iter 149: loss 7.6872, time 12044.03ms, mfu 7.95%
iter 150: loss 8.0233, time 12067.54ms, mfu 7.94%
iter 151: loss 7.7625, time 12055.30ms, mfu 7.94%
iter 152: loss 7.4888, time 12052.48ms, mfu 7.94%
iter 153: loss 7.5551, time 12055.99ms, mfu 7.94%
iter 154: loss 7.6201, time 12065.35ms, mfu 7.94%
iter 155: loss 7.8327, time 12046.32ms, mfu 7.94%
iter 156: loss 7.6932, time 12071.72ms, mfu 7.94%
iter 157: loss 7.7926, time 12042.32ms, mfu 7.94%
iter 158: loss 7.8266, time 12073.70ms, mfu 7.94%
iter 159: loss 7.4474, time 12040.71ms, mfu 7.94%
iter 160: loss 7.4068, time 12066.71ms, mfu 7.94%
iter 161: loss 7.6415, time 12061.14ms, mfu 7.94%
iter 162: loss 7.4756, time 12054.65ms, mfu 7.94%
iter 163: loss 7.5898, time 12044.42ms, mfu 7.94%
iter 164: loss 7.3820, time 12070.61ms, mfu 7.94%
iter 165: loss 7.4873, time 12066.16ms, mfu 7.94%
iter 166: loss 7.2941, time 12073.09ms, mfu 7.94%
iter 167: loss 7.3863, time 12030.43ms, mfu 7.94%
iter 168: loss 7.5206, time 12073.08ms, mfu 7.94%
iter 169: loss 7.5134, time 12031.53ms, mfu 7.94%
iter 170: loss 7.5029, time 12065.43ms, mfu 7.94%
iter 171: loss 7.4365, time 12057.68ms, mfu 7.94%
iter 172: loss 7.4328, time 12035.60ms, mfu 7.94%
iter 173: loss 7.5659, time 12092.66ms, mfu 7.94%
iter 174: loss 7.3542, time 12057.66ms, mfu 7.94%
iter 175: loss 7.4002, time 12047.49ms, mfu 7.94%
iter 176: loss 7.2284, time 12057.35ms, mfu 7.94%
iter 177: loss 7.2324, time 12054.59ms, mfu 7.94%
iter 178: loss 7.3505, time 12076.65ms, mfu 7.94%
iter 179: loss 7.2169, time 12043.51ms, mfu 7.94%
iter 180: loss 7.2821, time 12038.06ms, mfu 7.94%
iter 181: loss 7.4806, time 12091.99ms, mfu 7.94%
iter 182: loss 7.5640, time 12058.25ms, mfu 7.94%
iter 183: loss 7.4917, time 12059.79ms, mfu 7.94%
iter 184: loss 7.3794, time 12036.08ms, mfu 7.94%
iter 185: loss 7.4516, time 12067.01ms, mfu 7.94%
iter 186: loss 7.2965, time 12042.30ms, mfu 7.94%
iter 187: loss 7.2462, time 12055.98ms, mfu 7.94%
iter 188: loss 7.3061, time 12075.46ms, mfu 7.94%
iter 189: loss 7.3770, time 12056.80ms, mfu 7.94%
iter 190: loss 7.3715, time 12035.20ms, mfu 7.94%
iter 191: loss 7.4912, time 12075.67ms, mfu 7.94%
iter 192: loss 7.1854, time 12043.37ms, mfu 7.94%
iter 193: loss 7.1514, time 12062.42ms, mfu 7.94%
iter 194: loss 6.9663, time 12083.44ms, mfu 7.94%
iter 195: loss 7.1669, time 12056.39ms, mfu 7.94%
iter 196: loss 7.3078, time 12040.63ms, mfu 7.94%
iter 197: loss 7.1251, time 12064.29ms, mfu 7.94%
iter 198: loss 7.3100, time 12043.06ms, mfu 7.94%
iter 199: loss 7.0989, time 12073.88ms, mfu 7.94%
iter 200: loss 7.3791, time 12058.33ms, mfu 7.94%
iter 201: loss 7.3286, time 12035.81ms, mfu 7.94%
iter 202: loss 7.2171, time 12076.72ms, mfu 7.94%
iter 203: loss 7.2432, time 12046.02ms, mfu 7.94%
iter 204: loss 7.0610, time 12063.78ms, mfu 7.94%
iter 205: loss 6.9201, time 12038.27ms, mfu 7.94%
iter 206: loss 7.2462, time 12069.30ms, mfu 7.94%
iter 207: loss 6.9852, time 12043.80ms, mfu 7.94%
iter 208: loss 7.0778, time 12091.39ms, mfu 7.94%
iter 209: loss 7.0728, time 12020.37ms, mfu 7.94%
iter 210: loss 7.5812, time 12094.24ms, mfu 7.94%
iter 211: loss 7.0363, time 12020.91ms, mfu 7.94%
iter 212: loss 6.9269, time 12108.33ms, mfu 7.94%
iter 213: loss 7.2382, time 12042.11ms, mfu 7.94%
iter 214: loss 7.0504, time 12034.33ms, mfu 7.94%
iter 215: loss 7.1085, time 12073.80ms, mfu 7.94%
iter 216: loss 6.8823, time 12053.94ms, mfu 7.94%
iter 217: loss 6.9613, time 12049.73ms, mfu 7.94%
iter 218: loss 6.8905, time 12046.24ms, mfu 7.94%
iter 219: loss 7.1246, time 12071.86ms, mfu 7.94%
iter 220: loss 7.0071, time 12061.84ms, mfu 7.94%
iter 221: loss 7.0628, time 12056.91ms, mfu 7.94%
iter 222: loss 7.2685, time 12055.07ms, mfu 7.94%
iter 223: loss 6.9819, time 12017.07ms, mfu 7.94%
iter 224: loss 6.9427, time 12095.48ms, mfu 7.94%
iter 225: loss 7.1386, time 12042.39ms, mfu 7.94%
iter 226: loss 6.8647, time 12075.54ms, mfu 7.94%
iter 227: loss 7.1756, time 12037.08ms, mfu 7.94%
iter 228: loss 7.3394, time 12068.53ms, mfu 7.94%
iter 229: loss 6.7801, time 12055.44ms, mfu 7.94%
iter 230: loss 6.8116, time 12063.31ms, mfu 7.94%
iter 231: loss 6.9765, time 12042.81ms, mfu 7.94%
iter 232: loss 7.1214, time 12049.87ms, mfu 7.94%
iter 233: loss 7.0558, time 12072.70ms, mfu 7.94%
iter 234: loss 7.0015, time 12054.44ms, mfu 7.94%
iter 235: loss 7.0121, time 12078.83ms, mfu 7.94%
iter 236: loss 7.0988, time 12073.12ms, mfu 7.94%
iter 237: loss 6.7232, time 12014.39ms, mfu 7.94%
iter 238: loss 6.8481, time 12078.26ms, mfu 7.94%
iter 239: loss 7.2465, time 12043.21ms, mfu 7.94%
iter 240: loss 7.0795, time 12061.99ms, mfu 7.94%
iter 241: loss 7.0439, time 12063.01ms, mfu 7.94%
iter 242: loss 6.7023, time 12036.54ms, mfu 7.94%
iter 243: loss 7.0874, time 12076.33ms, mfu 7.94%
iter 244: loss 7.0563, time 12016.45ms, mfu 7.94%
iter 245: loss 7.1016, time 12056.42ms, mfu 7.94%
iter 246: loss 6.8291, time 12091.03ms, mfu 7.94%
iter 247: loss 6.8131, time 12041.76ms, mfu 7.94%
iter 248: loss 6.7860, time 12058.70ms, mfu 7.94%
iter 249: loss 6.9893, time 12051.60ms, mfu 7.94%
iter 250: loss 6.9302, time 12095.48ms, mfu 7.94%
iter 251: loss 6.9829, time 12018.76ms, mfu 7.94%
iter 252: loss 6.6715, time 12055.82ms, mfu 7.94%
iter 253: loss 6.5473, time 12075.65ms, mfu 7.94%
iter 254: loss 6.8080, time 12055.88ms, mfu 7.94%
iter 255: loss 6.6901, time 12042.77ms, mfu 7.94%
iter 256: loss 6.8103, time 12067.95ms, mfu 7.94%
iter 257: loss 6.9216, time 12051.12ms, mfu 7.94%
iter 258: loss 7.0006, time 12082.17ms, mfu 7.94%
iter 259: loss 6.6400, time 12032.02ms, mfu 7.94%
iter 260: loss 7.0414, time 12061.25ms, mfu 7.94%
iter 261: loss 6.8123, time 12096.50ms, mfu 7.94%
iter 262: loss 6.5095, time 12054.73ms, mfu 7.94%
iter 263: loss 6.6179, time 12026.22ms, mfu 7.94%
iter 264: loss 6.7436, time 12067.04ms, mfu 7.94%
iter 265: loss 6.6353, time 12076.70ms, mfu 7.94%
iter 266: loss 7.0438, time 12055.01ms, mfu 7.94%
iter 267: loss 6.8491, time 12037.10ms, mfu 7.94%
iter 268: loss 6.9815, time 12035.58ms, mfu 7.94%
iter 269: loss 6.7682, time 12076.15ms, mfu 7.94%
iter 270: loss 6.7348, time 12056.73ms, mfu 7.94%
iter 271: loss 6.6085, time 12056.96ms, mfu 7.94%
iter 272: loss 6.6089, time 12054.95ms, mfu 7.94%
iter 273: loss 6.5195, time 12055.54ms, mfu 7.94%
iter 274: loss 6.4337, time 12053.04ms, mfu 7.94%
iter 275: loss 6.7145, time 12059.05ms, mfu 7.94%
iter 276: loss 6.9321, time 12080.60ms, mfu 7.94%
iter 277: loss 6.7240, time 12032.37ms, mfu 7.94%
iter 278: loss 6.8467, time 12075.76ms, mfu 7.94%
iter 279: loss 6.7669, time 12028.88ms, mfu 7.94%
iter 280: loss 6.7637, time 12084.69ms, mfu 7.94%
iter 281: loss 7.2322, time 12055.69ms, mfu 7.94%
iter 282: loss 6.7202, time 12055.53ms, mfu 7.94%
iter 283: loss 6.6806, time 12036.45ms, mfu 7.94%
iter 284: loss 6.8382, time 12053.71ms, mfu 7.94%
iter 285: loss 6.6300, time 12058.25ms, mfu 7.94%
iter 286: loss 6.9345, time 12057.34ms, mfu 7.94%
iter 287: loss 6.8572, time 12075.59ms, mfu 7.94%
iter 288: loss 6.5188, time 12056.67ms, mfu 7.94%
iter 289: loss 6.5204, time 12055.99ms, mfu 7.94%
iter 290: loss 6.6725, time 12055.13ms, mfu 7.94%
iter 291: loss 6.5857, time 12059.30ms, mfu 7.94%
iter 292: loss 6.9155, time 12055.70ms, mfu 7.94%
iter 293: loss 6.6006, time 12055.80ms, mfu 7.94%
iter 294: loss 6.6198, time 12054.25ms, mfu 7.94%
iter 295: loss 6.7889, time 12060.11ms, mfu 7.94%
iter 296: loss 6.8097, time 12052.95ms, mfu 7.94%
iter 297: loss 6.4335, time 12078.77ms, mfu 7.94%
iter 298: loss 6.4342, time 12074.47ms, mfu 7.94%
iter 299: loss 6.6507, time 12057.16ms, mfu 7.94%
iter 300: loss 6.7757, time 12052.88ms, mfu 7.94%
