step 0: train loss 10.9844, val loss 10.9843
iter 0: loss 11.0406, time 68430.08ms, mfu -100.00%
iter 1: loss 10.9624, time 11075.90ms, mfu -100.00%
iter 2: loss 10.9043, time 11803.01ms, mfu -100.00%
iter 3: loss 10.9086, time 11839.69ms, mfu -100.00%
iter 4: loss 10.8620, time 11936.26ms, mfu -100.00%
iter 5: loss 10.7985, time 11958.76ms, mfu 8.01%
iter 6: loss 10.6837, time 11888.36ms, mfu 8.01%
iter 7: loss 10.6253, time 11820.01ms, mfu 8.02%
iter 8: loss 10.4929, time 11865.20ms, mfu 8.02%
iter 9: loss 10.4602, time 11830.50ms, mfu 8.03%
iter 10: loss 10.3518, time 11788.06ms, mfu 8.04%
iter 11: loss 10.2520, time 11853.50ms, mfu 8.04%
iter 12: loss 10.1471, time 11868.74ms, mfu 8.05%
iter 13: loss 10.0426, time 11908.80ms, mfu 8.05%
iter 14: loss 10.0608, time 11940.17ms, mfu 8.04%
iter 15: loss 10.0288, time 11917.21ms, mfu 8.04%
iter 16: loss 9.8229, time 11975.00ms, mfu 8.04%
iter 17: loss 9.7332, time 11990.06ms, mfu 8.03%
iter 18: loss 9.7030, time 12023.68ms, mfu 8.03%
iter 19: loss 9.6286, time 12095.17ms, mfu 8.01%
iter 20: loss 9.5659, time 12077.45ms, mfu 8.01%
iter 21: loss 9.5356, time 12038.88ms, mfu 8.00%
iter 22: loss 9.4809, time 12005.98ms, mfu 8.00%
iter 23: loss 9.3899, time 12012.47ms, mfu 8.00%
iter 24: loss 9.4976, time 12025.94ms, mfu 7.99%
iter 25: loss 9.3903, time 12007.41ms, mfu 7.99%
iter 26: loss 9.4507, time 11953.85ms, mfu 7.99%
iter 27: loss 9.4955, time 11938.40ms, mfu 7.99%
iter 28: loss 9.4827, time 11934.52ms, mfu 8.00%
iter 29: loss 9.3239, time 11906.37ms, mfu 8.00%
iter 30: loss 9.2496, time 11912.63ms, mfu 8.01%
iter 31: loss 9.3392, time 11864.39ms, mfu 8.01%
iter 32: loss 9.2924, time 11898.84ms, mfu 8.02%
iter 33: loss 9.2956, time 11876.05ms, mfu 8.02%
iter 34: loss 9.3815, time 11872.93ms, mfu 8.02%
iter 35: loss 9.2632, time 11882.37ms, mfu 8.03%
iter 36: loss 9.2915, time 11845.62ms, mfu 8.03%
iter 37: loss 9.2571, time 11853.32ms, mfu 8.04%
iter 38: loss 9.3323, time 11879.46ms, mfu 8.04%
iter 39: loss 9.1921, time 11848.54ms, mfu 8.04%
iter 40: loss 9.1994, time 11833.71ms, mfu 8.05%
iter 41: loss 9.1942, time 11831.52ms, mfu 8.05%
iter 42: loss 9.1650, time 11856.39ms, mfu 8.06%
iter 43: loss 9.2239, time 11849.56ms, mfu 8.06%
iter 44: loss 9.0829, time 11834.01ms, mfu 8.06%
iter 45: loss 9.1703, time 11842.31ms, mfu 8.06%
iter 46: loss 9.2930, time 11877.95ms, mfu 8.06%
iter 47: loss 9.2880, time 11868.80ms, mfu 8.06%
iter 48: loss 9.2026, time 11849.37ms, mfu 8.07%
iter 49: loss 9.2611, time 11905.57ms, mfu 8.06%
iter 50: loss 9.2152, time 11877.89ms, mfu 8.06%
iter 51: loss 9.3008, time 11891.87ms, mfu 8.06%
iter 52: loss 9.0705, time 11895.48ms, mfu 8.06%
iter 53: loss 9.0745, time 11897.96ms, mfu 8.06%
iter 54: loss 9.0510, time 11915.36ms, mfu 8.06%
iter 55: loss 9.0664, time 11906.78ms, mfu 8.05%
iter 56: loss 9.1517, time 11894.29ms, mfu 8.05%
iter 57: loss 9.1013, time 11908.10ms, mfu 8.05%
iter 58: loss 9.0126, time 11926.38ms, mfu 8.05%
iter 59: loss 9.0744, time 11908.43ms, mfu 8.05%
iter 60: loss 9.0285, time 11906.00ms, mfu 8.05%
iter 61: loss 8.9973, time 11925.52ms, mfu 8.05%
iter 62: loss 9.1029, time 11924.55ms, mfu 8.04%
iter 63: loss 9.0826, time 11927.79ms, mfu 8.04%
iter 64: loss 9.0171, time 11936.60ms, mfu 8.04%
iter 65: loss 8.9030, time 11927.75ms, mfu 8.04%
iter 66: loss 9.0376, time 11957.41ms, mfu 8.04%
iter 67: loss 8.9917, time 11903.64ms, mfu 8.04%
iter 68: loss 8.9319, time 11968.63ms, mfu 8.03%
iter 69: loss 8.8993, time 11923.78ms, mfu 8.03%
iter 70: loss 8.9521, time 11927.47ms, mfu 8.03%
iter 71: loss 8.8693, time 11932.70ms, mfu 8.03%
iter 72: loss 9.1173, time 11929.82ms, mfu 8.03%
iter 73: loss 8.8588, time 11966.69ms, mfu 8.03%
iter 74: loss 8.8713, time 11925.77ms, mfu 8.03%
iter 75: loss 9.1916, time 11954.74ms, mfu 8.03%
iter 76: loss 9.0580, time 11967.56ms, mfu 8.02%
iter 77: loss 8.8411, time 11936.77ms, mfu 8.02%
iter 78: loss 8.9029, time 11935.77ms, mfu 8.02%
iter 79: loss 8.9999, time 11934.53ms, mfu 8.02%
iter 80: loss 8.9200, time 11927.08ms, mfu 8.02%
iter 81: loss 8.7731, time 11935.43ms, mfu 8.02%
iter 82: loss 8.7990, time 11953.97ms, mfu 8.02%
iter 83: loss 8.7130, time 11951.10ms, mfu 8.02%
iter 84: loss 8.7688, time 11935.57ms, mfu 8.02%
iter 85: loss 8.7058, time 11924.85ms, mfu 8.02%
iter 86: loss 8.7928, time 11948.94ms, mfu 8.02%
iter 87: loss 8.7281, time 11935.45ms, mfu 8.02%
iter 88: loss 8.7077, time 11924.22ms, mfu 8.02%
iter 89: loss 8.6036, time 11926.58ms, mfu 8.02%
iter 90: loss 8.7505, time 11956.55ms, mfu 8.02%
iter 91: loss 8.7526, time 11935.38ms, mfu 8.02%
iter 92: loss 8.5597, time 11942.35ms, mfu 8.02%
iter 93: loss 8.8967, time 11926.77ms, mfu 8.02%
iter 94: loss 8.6925, time 11940.45ms, mfu 8.02%
iter 95: loss 8.8010, time 11914.39ms, mfu 8.02%
iter 96: loss 8.5128, time 11939.04ms, mfu 8.02%
iter 97: loss 8.5351, time 11943.58ms, mfu 8.02%
iter 98: loss 8.4147, time 11896.55ms, mfu 8.02%
iter 99: loss 8.5559, time 11987.07ms, mfu 8.02%
iter 100: loss 8.4468, time 11906.02ms, mfu 8.02%
iter 101: loss 8.4091, time 11962.18ms, mfu 8.02%
iter 102: loss 8.4518, time 11960.89ms, mfu 8.02%
iter 103: loss 8.6644, time 11960.76ms, mfu 8.02%
iter 104: loss 8.3129, time 11959.26ms, mfu 8.02%
iter 105: loss 8.5021, time 11957.78ms, mfu 8.02%
iter 106: loss 8.3980, time 11951.93ms, mfu 8.02%
iter 107: loss 8.3885, time 11951.41ms, mfu 8.01%
iter 108: loss 8.3946, time 11964.78ms, mfu 8.01%
iter 109: loss 8.4133, time 11967.17ms, mfu 8.01%
iter 110: loss 8.3503, time 11966.21ms, mfu 8.01%
iter 111: loss 8.2433, time 11976.01ms, mfu 8.01%
iter 112: loss 8.2968, time 11974.45ms, mfu 8.01%
iter 113: loss 8.2981, time 11961.27ms, mfu 8.01%
iter 114: loss 8.0759, time 11955.30ms, mfu 8.01%
iter 115: loss 8.1706, time 11972.14ms, mfu 8.01%
iter 116: loss 8.2726, time 11984.28ms, mfu 8.00%
iter 117: loss 8.2728, time 11961.91ms, mfu 8.00%
iter 118: loss 8.1961, time 11942.79ms, mfu 8.01%
iter 119: loss 8.2657, time 11976.83ms, mfu 8.00%
iter 120: loss 8.3763, time 11964.24ms, mfu 8.00%
iter 121: loss 8.3797, time 12014.73ms, mfu 8.00%
iter 122: loss 8.0797, time 11948.74ms, mfu 8.00%
iter 123: loss 7.9809, time 11988.60ms, mfu 8.00%
iter 124: loss 8.1152, time 11936.59ms, mfu 8.00%
iter 125: loss 8.0620, time 11968.81ms, mfu 8.00%
iter 126: loss 8.1536, time 11981.97ms, mfu 8.00%
iter 127: loss 8.0943, time 11973.58ms, mfu 8.00%
iter 128: loss 8.0919, time 11978.35ms, mfu 8.00%
iter 129: loss 8.0541, time 11981.32ms, mfu 8.00%
iter 130: loss 8.1011, time 11974.12ms, mfu 8.00%
iter 131: loss 7.9392, time 11994.18ms, mfu 8.00%
iter 132: loss 7.9218, time 11977.28ms, mfu 8.00%
iter 133: loss 7.9865, time 11962.65ms, mfu 8.00%
iter 134: loss 8.0834, time 12007.48ms, mfu 8.00%
iter 135: loss 7.9761, time 11966.84ms, mfu 8.00%
iter 136: loss 7.8014, time 11995.58ms, mfu 7.99%
iter 137: loss 8.2312, time 11967.93ms, mfu 7.99%
iter 138: loss 7.8149, time 12024.29ms, mfu 7.99%
iter 139: loss 7.8612, time 11994.13ms, mfu 7.99%
iter 140: loss 7.9036, time 11990.89ms, mfu 7.99%
iter 141: loss 7.9034, time 12021.32ms, mfu 7.99%
iter 142: loss 7.6566, time 12009.54ms, mfu 7.99%
iter 143: loss 7.9775, time 11997.62ms, mfu 7.99%
iter 144: loss 7.8678, time 12022.77ms, mfu 7.98%
iter 145: loss 7.9678, time 11999.17ms, mfu 7.98%
iter 146: loss 7.7621, time 12011.10ms, mfu 7.98%
iter 147: loss 7.7596, time 12038.68ms, mfu 7.98%
iter 148: loss 7.5681, time 12012.24ms, mfu 7.98%
iter 149: loss 7.6871, time 12034.34ms, mfu 7.98%
iter 150: loss 8.0233, time 12024.29ms, mfu 7.97%
iter 151: loss 7.7624, time 12031.56ms, mfu 7.97%
iter 152: loss 7.4889, time 12041.04ms, mfu 7.97%
iter 153: loss 7.5550, time 12067.95ms, mfu 7.97%
iter 154: loss 7.6199, time 12050.75ms, mfu 7.96%
iter 155: loss 7.8315, time 12038.59ms, mfu 7.96%
iter 156: loss 7.6929, time 12054.58ms, mfu 7.96%
iter 157: loss 7.7915, time 12003.68ms, mfu 7.96%
iter 158: loss 7.8237, time 12038.90ms, mfu 7.96%
iter 159: loss 7.4478, time 12083.17ms, mfu 7.96%
iter 160: loss 7.4060, time 12027.70ms, mfu 7.96%
iter 161: loss 7.6407, time 12050.90ms, mfu 7.96%
iter 162: loss 7.4759, time 12043.06ms, mfu 7.96%
iter 163: loss 7.5873, time 12067.92ms, mfu 7.95%
iter 164: loss 7.3814, time 12051.85ms, mfu 7.95%
iter 165: loss 7.4801, time 12047.61ms, mfu 7.95%
iter 166: loss 7.2926, time 12048.96ms, mfu 7.95%
iter 167: loss 7.3842, time 12037.95ms, mfu 7.95%
iter 168: loss 7.5175, time 12066.93ms, mfu 7.95%
iter 169: loss 7.5117, time 12042.73ms, mfu 7.95%
iter 170: loss 7.4994, time 12043.77ms, mfu 7.95%
iter 171: loss 7.4318, time 12037.76ms, mfu 7.95%
iter 172: loss 7.4368, time 12055.61ms, mfu 7.95%
iter 173: loss 7.5578, time 12028.90ms, mfu 7.95%
iter 174: loss 7.3528, time 12057.90ms, mfu 7.95%
iter 175: loss 7.3978, time 12042.06ms, mfu 7.95%
iter 176: loss 7.2280, time 12049.34ms, mfu 7.95%
iter 177: loss 7.2308, time 12025.22ms, mfu 7.95%
iter 178: loss 7.3483, time 12049.32ms, mfu 7.95%
iter 179: loss 7.2167, time 12060.17ms, mfu 7.95%
iter 180: loss 7.2812, time 12056.77ms, mfu 7.95%
iter 181: loss 7.4812, time 12051.21ms, mfu 7.95%
iter 182: loss 7.5630, time 12051.42ms, mfu 7.95%
iter 183: loss 7.4907, time 12062.52ms, mfu 7.95%
iter 184: loss 7.3777, time 12058.52ms, mfu 7.95%
iter 185: loss 7.4526, time 12041.73ms, mfu 7.95%
iter 186: loss 7.2942, time 12073.85ms, mfu 7.94%
iter 187: loss 7.2440, time 12051.84ms, mfu 7.94%
iter 188: loss 7.3065, time 12070.70ms, mfu 7.94%
iter 189: loss 7.3795, time 12042.39ms, mfu 7.94%
iter 190: loss 7.3683, time 12053.17ms, mfu 7.94%
iter 191: loss 7.4910, time 12064.14ms, mfu 7.94%
iter 192: loss 7.1844, time 12050.35ms, mfu 7.94%
iter 193: loss 7.1502, time 12050.96ms, mfu 7.94%
iter 194: loss 6.9655, time 12075.06ms, mfu 7.94%
iter 195: loss 7.1647, time 12043.85ms, mfu 7.94%
iter 196: loss 7.3096, time 12055.85ms, mfu 7.94%
iter 197: loss 7.1264, time 12054.72ms, mfu 7.94%
iter 198: loss 7.3083, time 12066.30ms, mfu 7.94%
iter 199: loss 7.0977, time 12076.35ms, mfu 7.94%
iter 200: loss 7.3772, time 12045.38ms, mfu 7.94%
iter 201: loss 7.3263, time 12057.71ms, mfu 7.94%
iter 202: loss 7.2163, time 12053.89ms, mfu 7.94%
iter 203: loss 7.2396, time 12057.82ms, mfu 7.94%
iter 204: loss 7.0644, time 12056.14ms, mfu 7.94%
iter 205: loss 6.9178, time 12057.60ms, mfu 7.94%
iter 206: loss 7.2450, time 12041.64ms, mfu 7.94%
iter 207: loss 6.9839, time 12069.87ms, mfu 7.94%
iter 208: loss 7.0770, time 12054.36ms, mfu 7.94%
iter 209: loss 7.0720, time 12054.70ms, mfu 7.94%
iter 210: loss 7.5788, time 12058.69ms, mfu 7.94%
iter 211: loss 7.0342, time 12045.88ms, mfu 7.94%
iter 212: loss 6.9275, time 12067.34ms, mfu 7.94%
iter 213: loss 7.2384, time 12058.32ms, mfu 7.94%
iter 214: loss 7.0543, time 12053.79ms, mfu 7.94%
iter 215: loss 7.1096, time 12056.65ms, mfu 7.94%
