step 0: train loss 10.9844, val loss 10.9843
iter 0: loss 11.0406, time 65604.75ms, mfu -100.00%
iter 1: loss 10.9624, time 11084.04ms, mfu -100.00%
iter 2: loss 10.9043, time 11847.83ms, mfu -100.00%
iter 3: loss 10.9086, time 11885.16ms, mfu -100.00%
iter 4: loss 10.8620, time 11966.96ms, mfu -100.00%
iter 5: loss 10.7986, time 11957.61ms, mfu 8.01%
iter 6: loss 10.6837, time 11904.40ms, mfu 8.01%
iter 7: loss 10.6253, time 11943.96ms, mfu 8.01%
iter 8: loss 10.4929, time 11886.25ms, mfu 8.02%
iter 9: loss 10.4602, time 11908.71ms, mfu 8.02%
iter 10: loss 10.3518, time 11883.97ms, mfu 8.02%
iter 11: loss 10.2519, time 11928.16ms, mfu 8.02%
iter 12: loss 10.1471, time 11929.80ms, mfu 8.02%
iter 13: loss 10.0425, time 11945.11ms, mfu 8.02%
iter 14: loss 10.0608, time 11934.75ms, mfu 8.02%
iter 15: loss 10.0288, time 11928.93ms, mfu 8.02%
iter 16: loss 9.8229, time 11940.91ms, mfu 8.02%
iter 17: loss 9.7331, time 11916.94ms, mfu 8.02%
iter 18: loss 9.7030, time 11930.31ms, mfu 8.02%
iter 19: loss 9.6286, time 11914.76ms, mfu 8.02%
iter 20: loss 9.5659, time 11917.05ms, mfu 8.03%
iter 21: loss 9.5356, time 11913.80ms, mfu 8.03%
iter 22: loss 9.4810, time 11897.80ms, mfu 8.03%
iter 23: loss 9.3900, time 11915.64ms, mfu 8.03%
iter 24: loss 9.4976, time 11915.79ms, mfu 8.03%
iter 25: loss 9.3903, time 11916.51ms, mfu 8.03%
iter 26: loss 9.4506, time 11884.70ms, mfu 8.03%
iter 27: loss 9.4956, time 11914.69ms, mfu 8.03%
iter 28: loss 9.4828, time 11898.25ms, mfu 8.03%
iter 29: loss 9.3239, time 11894.71ms, mfu 8.04%
iter 30: loss 9.2496, time 11957.57ms, mfu 8.03%
iter 31: loss 9.3392, time 11908.42ms, mfu 8.03%
iter 32: loss 9.2923, time 11945.11ms, mfu 8.03%
iter 33: loss 9.2956, time 11981.01ms, mfu 8.03%
iter 34: loss 9.3814, time 11962.61ms, mfu 8.03%
iter 35: loss 9.2631, time 11975.29ms, mfu 8.02%
iter 36: loss 9.2915, time 11951.41ms, mfu 8.02%
iter 37: loss 9.2570, time 11991.18ms, mfu 8.02%
iter 38: loss 9.3324, time 11973.67ms, mfu 8.02%
iter 39: loss 9.1921, time 11977.82ms, mfu 8.01%
iter 40: loss 9.1994, time 11976.77ms, mfu 8.01%
iter 41: loss 9.1942, time 11975.41ms, mfu 8.01%
iter 42: loss 9.1650, time 11979.06ms, mfu 8.01%
iter 43: loss 9.2239, time 12006.73ms, mfu 8.00%
iter 44: loss 9.0828, time 12022.24ms, mfu 8.00%
iter 45: loss 9.1703, time 11971.72ms, mfu 8.00%
iter 46: loss 9.2930, time 11993.71ms, mfu 8.00%
iter 47: loss 9.2880, time 11974.93ms, mfu 8.00%
iter 48: loss 9.2026, time 11980.03ms, mfu 8.00%
iter 49: loss 9.2611, time 11983.26ms, mfu 8.00%
iter 50: loss 9.2152, time 11969.95ms, mfu 8.00%
iter 51: loss 9.3008, time 11993.26ms, mfu 8.00%
iter 52: loss 9.0705, time 11962.93ms, mfu 8.00%
iter 53: loss 9.0746, time 11957.91ms, mfu 8.00%
iter 54: loss 9.0510, time 11994.87ms, mfu 8.00%
iter 55: loss 9.0664, time 11986.57ms, mfu 7.99%
iter 56: loss 9.1518, time 11959.73ms, mfu 8.00%
iter 57: loss 9.1013, time 12002.65ms, mfu 7.99%
iter 58: loss 9.0126, time 11949.00ms, mfu 8.00%
iter 59: loss 9.0745, time 11984.09ms, mfu 8.00%
iter 60: loss 9.0285, time 11976.93ms, mfu 8.00%
iter 61: loss 8.9973, time 11978.88ms, mfu 7.99%
iter 62: loss 9.1028, time 11989.58ms, mfu 7.99%
iter 63: loss 9.0826, time 11969.45ms, mfu 7.99%
iter 64: loss 9.0171, time 12004.62ms, mfu 7.99%
iter 65: loss 8.9030, time 11996.07ms, mfu 7.99%
iter 66: loss 9.0376, time 11998.73ms, mfu 7.99%
iter 67: loss 8.9917, time 11975.00ms, mfu 7.99%
iter 68: loss 8.9319, time 12011.89ms, mfu 7.99%
iter 69: loss 8.8994, time 11950.86ms, mfu 7.99%
iter 70: loss 8.9521, time 11997.44ms, mfu 7.99%
iter 71: loss 8.8692, time 11976.71ms, mfu 7.99%
iter 72: loss 9.1173, time 11981.76ms, mfu 7.99%
iter 73: loss 8.8587, time 11976.64ms, mfu 7.99%
iter 74: loss 8.8713, time 11937.96ms, mfu 7.99%
iter 75: loss 9.1916, time 11994.24ms, mfu 7.99%
iter 76: loss 9.0580, time 11955.43ms, mfu 7.99%
iter 77: loss 8.8411, time 11979.19ms, mfu 7.99%
iter 78: loss 8.9028, time 11970.46ms, mfu 7.99%
iter 79: loss 8.9999, time 12003.16ms, mfu 7.99%
iter 80: loss 8.9200, time 11972.86ms, mfu 7.99%
iter 81: loss 8.7731, time 11982.71ms, mfu 7.99%
iter 82: loss 8.7990, time 11980.76ms, mfu 7.99%
iter 83: loss 8.7130, time 11996.69ms, mfu 7.99%
iter 84: loss 8.7689, time 11993.15ms, mfu 7.99%
iter 85: loss 8.7057, time 11983.92ms, mfu 7.99%
iter 86: loss 8.7928, time 11999.84ms, mfu 7.99%
iter 87: loss 8.7281, time 11990.13ms, mfu 7.99%
iter 88: loss 8.7077, time 12002.83ms, mfu 7.99%
iter 89: loss 8.6036, time 11976.17ms, mfu 7.99%
iter 90: loss 8.7504, time 11973.63ms, mfu 7.99%
iter 91: loss 8.7526, time 11991.27ms, mfu 7.99%
iter 92: loss 8.5597, time 11977.20ms, mfu 7.99%
iter 93: loss 8.8968, time 11961.49ms, mfu 7.99%
iter 94: loss 8.6925, time 12020.43ms, mfu 7.99%
iter 95: loss 8.8010, time 11993.56ms, mfu 7.99%
iter 96: loss 8.5127, time 11975.44ms, mfu 7.99%
iter 97: loss 8.5352, time 12008.25ms, mfu 7.99%
iter 98: loss 8.4146, time 12001.62ms, mfu 7.99%
iter 99: loss 8.5558, time 11996.65ms, mfu 7.99%
iter 100: loss 8.4468, time 11957.76ms, mfu 7.99%
iter 101: loss 8.4092, time 11992.47ms, mfu 7.99%
iter 102: loss 8.4518, time 12004.11ms, mfu 7.99%
iter 103: loss 8.6644, time 12028.58ms, mfu 7.98%
iter 104: loss 8.3129, time 12007.05ms, mfu 7.98%
iter 105: loss 8.5021, time 12028.20ms, mfu 7.98%
iter 106: loss 8.3980, time 12038.32ms, mfu 7.98%
iter 107: loss 8.3885, time 12033.06ms, mfu 7.98%
iter 108: loss 8.3945, time 12046.94ms, mfu 7.97%
iter 109: loss 8.4133, time 12057.41ms, mfu 7.97%
iter 110: loss 8.3503, time 12045.58ms, mfu 7.97%
iter 111: loss 8.2433, time 12034.77ms, mfu 7.97%
iter 112: loss 8.2967, time 12072.98ms, mfu 7.96%
iter 113: loss 8.2981, time 12016.73ms, mfu 7.96%
iter 114: loss 8.0759, time 12060.58ms, mfu 7.96%
iter 115: loss 8.1706, time 12052.61ms, mfu 7.96%
iter 116: loss 8.2725, time 12026.52ms, mfu 7.96%
iter 117: loss 8.2727, time 12031.34ms, mfu 7.96%
iter 118: loss 8.1960, time 12032.88ms, mfu 7.96%
iter 119: loss 8.2656, time 12031.03ms, mfu 7.96%
iter 120: loss 8.3763, time 12020.94ms, mfu 7.96%
iter 121: loss 8.3797, time 12038.27ms, mfu 7.96%
iter 122: loss 8.0796, time 12065.12ms, mfu 7.96%
iter 123: loss 7.9809, time 12001.80ms, mfu 7.96%
iter 124: loss 8.1152, time 12019.92ms, mfu 7.96%
iter 125: loss 8.0619, time 12035.46ms, mfu 7.96%
iter 126: loss 8.1537, time 12057.18ms, mfu 7.96%
iter 127: loss 8.0942, time 12051.70ms, mfu 7.96%
iter 128: loss 8.0918, time 12059.44ms, mfu 7.95%
iter 129: loss 8.0541, time 12056.16ms, mfu 7.95%
iter 130: loss 8.1010, time 12037.18ms, mfu 7.95%
iter 131: loss 7.9392, time 12066.69ms, mfu 7.95%
iter 132: loss 7.9218, time 12044.41ms, mfu 7.95%
iter 133: loss 7.9865, time 12052.41ms, mfu 7.95%
iter 134: loss 8.0834, time 12042.93ms, mfu 7.95%
iter 135: loss 7.9762, time 12039.23ms, mfu 7.95%
iter 136: loss 7.8015, time 12051.26ms, mfu 7.95%
iter 137: loss 8.2312, time 12076.04ms, mfu 7.95%
iter 138: loss 7.8148, time 12050.47ms, mfu 7.95%
iter 139: loss 7.8611, time 12057.13ms, mfu 7.95%
iter 140: loss 7.9037, time 12077.90ms, mfu 7.94%
iter 141: loss 7.9033, time 12038.41ms, mfu 7.95%
iter 142: loss 7.6565, time 12059.89ms, mfu 7.94%
iter 143: loss 7.9776, time 12049.28ms, mfu 7.95%
iter 144: loss 7.8678, time 12055.38ms, mfu 7.94%
iter 145: loss 7.9677, time 12056.70ms, mfu 7.94%
iter 146: loss 7.7621, time 12057.87ms, mfu 7.94%
iter 147: loss 7.7595, time 12071.59ms, mfu 7.94%
iter 148: loss 7.5683, time 12043.97ms, mfu 7.94%
iter 149: loss 7.6870, time 12058.81ms, mfu 7.94%
iter 150: loss 8.0232, time 12048.49ms, mfu 7.94%
iter 151: loss 7.7625, time 12053.83ms, mfu 7.94%
iter 152: loss 7.4889, time 12062.24ms, mfu 7.94%
iter 153: loss 7.5550, time 12069.53ms, mfu 7.94%
iter 154: loss 7.6197, time 12042.88ms, mfu 7.94%
iter 155: loss 7.8319, time 12040.84ms, mfu 7.94%
iter 156: loss 7.6930, time 12075.05ms, mfu 7.94%
iter 157: loss 7.7917, time 12051.22ms, mfu 7.94%
iter 158: loss 7.8247, time 12056.79ms, mfu 7.94%
iter 159: loss 7.4473, time 12057.06ms, mfu 7.94%
iter 160: loss 7.4054, time 12040.45ms, mfu 7.94%
iter 161: loss 7.6418, time 12071.73ms, mfu 7.94%
iter 162: loss 7.4759, time 12055.94ms, mfu 7.94%
iter 163: loss 7.5872, time 12043.79ms, mfu 7.94%
iter 164: loss 7.3812, time 12067.78ms, mfu 7.94%
iter 165: loss 7.4807, time 12036.95ms, mfu 7.94%
iter 166: loss 7.2935, time 12097.08ms, mfu 7.94%
iter 167: loss 7.3831, time 12036.70ms, mfu 7.94%
iter 168: loss 7.5170, time 12069.94ms, mfu 7.94%
iter 169: loss 7.5097, time 12057.51ms, mfu 7.94%
iter 170: loss 7.5019, time 12053.36ms, mfu 7.94%
iter 171: loss 7.4315, time 12045.05ms, mfu 7.94%
iter 172: loss 7.4370, time 12078.38ms, mfu 7.94%
iter 173: loss 7.5592, time 12066.01ms, mfu 7.94%
iter 174: loss 7.3504, time 12041.05ms, mfu 7.94%
iter 175: loss 7.3945, time 12048.07ms, mfu 7.94%
iter 176: loss 7.2231, time 12066.88ms, mfu 7.94%
iter 177: loss 7.2280, time 12046.08ms, mfu 7.94%
iter 178: loss 7.3473, time 12063.53ms, mfu 7.94%
iter 179: loss 7.2192, time 12056.15ms, mfu 7.94%
iter 180: loss 7.2804, time 12068.30ms, mfu 7.94%
iter 181: loss 7.4803, time 12043.93ms, mfu 7.94%
iter 182: loss 7.5640, time 12075.08ms, mfu 7.94%
iter 183: loss 7.4901, time 12035.20ms, mfu 7.94%
iter 184: loss 7.3751, time 12073.68ms, mfu 7.94%
iter 185: loss 7.4521, time 12055.58ms, mfu 7.94%
iter 186: loss 7.2930, time 12062.42ms, mfu 7.94%
iter 187: loss 7.2437, time 12052.27ms, mfu 7.94%
iter 188: loss 7.3054, time 12056.84ms, mfu 7.94%
iter 189: loss 7.3756, time 12039.11ms, mfu 7.94%
iter 190: loss 7.3662, time 12082.00ms, mfu 7.94%
iter 191: loss 7.4918, time 12068.88ms, mfu 7.94%
iter 192: loss 7.1864, time 12036.20ms, mfu 7.94%
iter 193: loss 7.1509, time 12058.74ms, mfu 7.94%
iter 194: loss 6.9697, time 12064.38ms, mfu 7.94%
iter 195: loss 7.1630, time 12044.05ms, mfu 7.94%
iter 196: loss 7.3124, time 12052.65ms, mfu 7.94%
iter 197: loss 7.1295, time 12062.54ms, mfu 7.94%
iter 198: loss 7.3088, time 12068.83ms, mfu 7.94%
iter 199: loss 7.1050, time 12076.97ms, mfu 7.94%
iter 200: loss 7.3831, time 12029.81ms, mfu 7.94%
iter 201: loss 7.3294, time 12069.75ms, mfu 7.94%
iter 202: loss 7.2182, time 12053.01ms, mfu 7.94%
iter 203: loss 7.2517, time 12039.75ms, mfu 7.94%
iter 204: loss 7.0614, time 12076.71ms, mfu 7.94%
iter 205: loss 6.9233, time 12038.85ms, mfu 7.94%
iter 206: loss 7.2489, time 12072.30ms, mfu 7.94%
iter 207: loss 6.9865, time 12053.79ms, mfu 7.94%
iter 208: loss 7.0790, time 12029.74ms, mfu 7.94%
iter 209: loss 7.0766, time 12074.25ms, mfu 7.94%
iter 210: loss 7.5871, time 12066.16ms, mfu 7.94%
iter 211: loss 7.0410, time 12068.19ms, mfu 7.94%
iter 212: loss 6.9322, time 12035.42ms, mfu 7.94%
iter 213: loss 7.2378, time 12044.30ms, mfu 7.94%
iter 214: loss 7.0488, time 12076.39ms, mfu 7.94%
iter 215: loss 7.1135, time 12063.51ms, mfu 7.94%
iter 216: loss 6.8829, time 12057.92ms, mfu 7.94%
iter 217: loss 6.9599, time 12025.36ms, mfu 7.94%
iter 218: loss 6.8966, time 12072.76ms, mfu 7.94%
iter 219: loss 7.1290, time 12040.69ms, mfu 7.94%
iter 220: loss 7.0125, time 12071.94ms, mfu 7.94%
iter 221: loss 7.0655, time 12077.53ms, mfu 7.94%
iter 222: loss 7.2668, time 12036.47ms, mfu 7.94%
iter 223: loss 6.9882, time 12061.11ms, mfu 7.94%
iter 224: loss 6.9416, time 12071.66ms, mfu 7.94%
iter 225: loss 7.1398, time 12037.88ms, mfu 7.94%
iter 226: loss 6.8705, time 12071.11ms, mfu 7.94%
iter 227: loss 7.1826, time 12029.27ms, mfu 7.94%
iter 228: loss 7.3386, time 12086.97ms, mfu 7.94%
