step 0: train loss 10.9364, val loss 10.9380
iter 0: loss 10.9457, time 9263.07ms, mfu -100.00%
iter 1: loss 10.9366, time 617.59ms, mfu -100.00%
iter 2: loss 10.8928, time 734.94ms, mfu -100.00%
iter 3: loss 10.8667, time 730.89ms, mfu -100.00%
iter 4: loss 10.8624, time 733.75ms, mfu -100.00%
iter 5: loss 10.7666, time 731.05ms, mfu 53.97%
iter 6: loss 10.7182, time 732.44ms, mfu 53.96%
iter 7: loss 10.6448, time 731.03ms, mfu 53.97%
iter 8: loss 10.5676, time 732.69ms, mfu 53.95%
iter 9: loss 10.5057, time 731.12ms, mfu 53.96%
iter 10: loss 10.4068, time 732.42ms, mfu 53.95%
iter 11: loss 10.3758, time 731.09ms, mfu 53.95%
iter 12: loss 10.2851, time 731.83ms, mfu 53.95%
iter 13: loss 10.2278, time 731.50ms, mfu 53.95%
iter 14: loss 10.1290, time 732.12ms, mfu 53.94%
iter 15: loss 10.0806, time 733.27ms, mfu 53.93%
iter 16: loss 10.0765, time 731.25ms, mfu 53.93%
iter 17: loss 10.1753, time 731.51ms, mfu 53.93%
iter 18: loss 10.0725, time 732.44ms, mfu 53.93%
iter 19: loss 9.9801, time 731.33ms, mfu 53.93%
iter 20: loss 9.9409, time 732.61ms, mfu 53.92%
iter 21: loss 9.9548, time 730.92ms, mfu 53.93%
iter 22: loss 9.8724, time 732.12ms, mfu 53.92%
iter 23: loss 9.7836, time 731.25ms, mfu 53.93%
iter 24: loss 9.7187, time 732.14ms, mfu 53.92%
iter 25: loss 9.7591, time 731.37ms, mfu 53.93%
iter 26: loss 9.7277, time 732.83ms, mfu 53.92%
iter 27: loss 9.6709, time 731.24ms, mfu 53.92%
iter 28: loss 9.6794, time 731.90ms, mfu 53.92%
iter 29: loss 9.6847, time 731.49ms, mfu 53.92%
iter 30: loss 9.6941, time 732.71ms, mfu 53.92%
iter 31: loss 9.6446, time 731.31ms, mfu 53.92%
iter 32: loss 9.7231, time 732.58ms, mfu 53.91%
iter 33: loss 9.5758, time 730.98ms, mfu 53.92%
iter 34: loss 9.5591, time 731.15ms, mfu 53.93%
iter 35: loss 9.5974, time 730.97ms, mfu 53.93%
iter 36: loss 9.4839, time 731.46ms, mfu 53.93%
iter 37: loss 9.5091, time 730.92ms, mfu 53.94%
iter 38: loss 9.5279, time 731.20ms, mfu 53.94%
iter 39: loss 9.5501, time 730.89ms, mfu 53.94%
iter 40: loss 9.5003, time 731.21ms, mfu 53.95%
iter 41: loss 9.5047, time 732.25ms, mfu 53.94%
iter 42: loss 9.6189, time 730.87ms, mfu 53.95%
iter 43: loss 9.4850, time 731.23ms, mfu 53.95%
iter 44: loss 9.4282, time 731.52ms, mfu 53.95%
iter 45: loss 9.4115, time 730.89ms, mfu 53.95%
iter 46: loss 9.6022, time 731.12ms, mfu 53.95%
iter 47: loss 9.4490, time 731.15ms, mfu 53.95%
iter 48: loss 9.4359, time 731.18ms, mfu 53.95%
iter 49: loss 9.4067, time 731.05ms, mfu 53.96%
iter 50: loss 9.3907, time 730.77ms, mfu 53.96%
iter 51: loss 9.3745, time 731.23ms, mfu 53.96%
iter 52: loss 9.3521, time 731.25ms, mfu 53.96%
iter 53: loss 9.3868, time 730.37ms, mfu 53.97%
iter 54: loss 9.2973, time 730.69ms, mfu 53.97%
iter 55: loss 9.3067, time 731.23ms, mfu 53.97%
iter 56: loss 9.2637, time 730.80ms, mfu 53.97%
iter 57: loss 9.2758, time 731.27ms, mfu 53.97%
iter 58: loss 9.3544, time 730.98ms, mfu 53.97%
iter 59: loss 9.2306, time 731.82ms, mfu 53.97%
iter 60: loss 9.2926, time 731.00ms, mfu 53.97%
iter 61: loss 9.4373, time 730.85ms, mfu 53.97%
iter 62: loss 9.3321, time 731.04ms, mfu 53.97%
iter 63: loss 9.1804, time 730.91ms, mfu 53.97%
iter 64: loss 9.2358, time 731.08ms, mfu 53.97%
iter 65: loss 9.2193, time 731.66ms, mfu 53.97%
iter 66: loss 9.1385, time 730.71ms, mfu 53.97%
iter 67: loss 9.1256, time 730.55ms, mfu 53.97%
iter 68: loss 9.1846, time 730.80ms, mfu 53.98%
iter 69: loss 9.0573, time 730.83ms, mfu 53.98%
iter 70: loss 9.1419, time 731.11ms, mfu 53.98%
iter 71: loss 9.0442, time 730.96ms, mfu 53.98%
iter 72: loss 8.9728, time 730.85ms, mfu 53.98%
iter 73: loss 9.0418, time 730.82ms, mfu 53.98%
iter 74: loss 8.9324, time 730.92ms, mfu 53.98%
iter 75: loss 8.8977, time 730.47ms, mfu 53.98%
iter 76: loss 8.8623, time 730.59ms, mfu 53.99%
iter 77: loss 8.9277, time 730.49ms, mfu 53.99%
iter 78: loss 8.8378, time 730.42ms, mfu 53.99%
iter 79: loss 8.8825, time 730.76ms, mfu 53.99%
iter 80: loss 8.9083, time 730.66ms, mfu 53.99%
iter 81: loss 8.8533, time 730.72ms, mfu 53.99%
iter 82: loss 8.7731, time 730.88ms, mfu 53.99%
iter 83: loss 8.8778, time 731.03ms, mfu 53.99%
iter 84: loss 8.7576, time 730.56ms, mfu 53.99%
iter 85: loss 8.7170, time 730.66ms, mfu 53.99%
iter 86: loss 8.6902, time 730.76ms, mfu 53.99%
iter 87: loss 8.7972, time 730.45ms, mfu 54.00%
iter 88: loss 8.7049, time 730.73ms, mfu 54.00%
iter 89: loss 8.6094, time 730.37ms, mfu 54.00%
iter 90: loss 8.7392, time 730.45ms, mfu 54.00%
iter 91: loss 8.7028, time 730.49ms, mfu 54.00%
iter 92: loss 8.5419, time 730.76ms, mfu 54.00%
iter 93: loss 8.6037, time 730.00ms, mfu 54.01%
iter 94: loss 8.5049, time 729.84ms, mfu 54.01%
iter 95: loss 8.5287, time 730.49ms, mfu 54.01%
iter 96: loss 8.4465, time 729.80ms, mfu 54.02%
iter 97: loss 8.5183, time 729.82ms, mfu 54.02%
iter 98: loss 8.4440, time 729.86ms, mfu 54.03%
iter 99: loss 8.4960, time 729.77ms, mfu 54.03%
iter 100: loss 8.4559, time 729.70ms, mfu 54.04%
iter 101: loss 8.3081, time 729.63ms, mfu 54.04%
iter 102: loss 8.2546, time 730.00ms, mfu 54.04%
iter 103: loss 8.2866, time 730.08ms, mfu 54.04%
iter 104: loss 8.1916, time 729.79ms, mfu 54.04%
iter 105: loss 8.3165, time 730.31ms, mfu 54.04%
iter 106: loss 8.2643, time 729.86ms, mfu 54.04%
iter 107: loss 8.1376, time 729.76ms, mfu 54.05%
iter 108: loss 8.3177, time 729.47ms, mfu 54.05%
iter 109: loss 8.1507, time 730.05ms, mfu 54.05%
iter 110: loss 8.1963, time 729.65ms, mfu 54.05%
iter 111: loss 8.1040, time 729.74ms, mfu 54.06%
iter 112: loss 8.2270, time 729.75ms, mfu 54.06%
iter 113: loss 8.1972, time 729.98ms, mfu 54.06%
iter 114: loss 8.0759, time 730.00ms, mfu 54.06%
iter 115: loss 7.9929, time 729.64ms, mfu 54.06%
iter 116: loss 8.1236, time 729.60ms, mfu 54.06%
iter 117: loss 8.0830, time 729.93ms, mfu 54.06%
iter 118: loss 8.0430, time 730.03ms, mfu 54.06%
iter 119: loss 7.9133, time 729.46ms, mfu 54.06%
iter 120: loss 8.0638, time 729.88ms, mfu 54.06%
iter 121: loss 7.8774, time 730.40ms, mfu 54.06%
iter 122: loss 8.0680, time 729.80ms, mfu 54.06%
iter 123: loss 7.9399, time 730.17ms, mfu 54.06%
iter 124: loss 7.8447, time 730.13ms, mfu 54.06%
iter 125: loss 7.9797, time 730.03ms, mfu 54.06%
iter 126: loss 7.7722, time 730.56ms, mfu 54.05%
iter 127: loss 8.1069, time 730.44ms, mfu 54.05%
iter 128: loss 7.9924, time 730.28ms, mfu 54.05%
iter 129: loss 7.7911, time 730.04ms, mfu 54.05%
iter 130: loss 7.7442, time 730.17ms, mfu 54.05%
iter 131: loss 7.8102, time 730.36ms, mfu 54.04%
iter 132: loss 7.6880, time 731.38ms, mfu 54.03%
iter 133: loss 7.7845, time 730.04ms, mfu 54.04%
iter 134: loss 7.7044, time 730.93ms, mfu 54.03%
iter 135: loss 7.7124, time 730.24ms, mfu 54.03%
iter 136: loss 7.5430, time 730.92ms, mfu 54.03%
iter 137: loss 7.8045, time 730.15ms, mfu 54.03%
iter 138: loss 7.5539, time 730.09ms, mfu 54.03%
iter 139: loss 7.5937, time 730.14ms, mfu 54.03%
iter 140: loss 7.6495, time 730.11ms, mfu 54.03%
iter 141: loss 7.5380, time 730.26ms, mfu 54.03%
iter 142: loss 7.5656, time 730.21ms, mfu 54.03%
iter 143: loss 7.7371, time 730.09ms, mfu 54.03%
iter 144: loss 7.4979, time 730.34ms, mfu 54.03%
iter 145: loss 7.5965, time 731.50ms, mfu 54.02%
iter 146: loss 7.4785, time 732.02ms, mfu 54.01%
iter 147: loss 7.5185, time 730.47ms, mfu 54.01%
iter 148: loss 7.6036, time 731.22ms, mfu 54.01%
iter 149: loss 7.4285, time 730.42ms, mfu 54.01%
iter 150: loss 7.2598, time 731.78ms, mfu 54.00%
iter 151: loss 7.5182, time 730.73ms, mfu 54.00%
iter 152: loss 7.4512, time 731.51ms, mfu 53.99%
iter 153: loss 7.3999, time 730.86ms, mfu 53.99%
iter 154: loss 7.4082, time 731.72ms, mfu 53.99%
iter 155: loss 7.3606, time 730.72ms, mfu 53.99%
iter 156: loss 7.2911, time 731.37ms, mfu 53.98%
iter 157: loss 7.3524, time 731.02ms, mfu 53.98%
iter 158: loss 7.3281, time 731.75ms, mfu 53.98%
