step 0: train loss 10.9844, val loss 10.9843
iter 0: loss 11.0406, time 65261.88ms, mfu -100.00%
iter 1: loss 10.9624, time 11114.65ms, mfu -100.00%
iter 2: loss 10.9043, time 11852.88ms, mfu -100.00%
iter 3: loss 10.9086, time 11913.21ms, mfu -100.00%
iter 4: loss 10.8620, time 11898.36ms, mfu -100.00%
iter 5: loss 10.7986, time 11939.07ms, mfu 8.02%
iter 6: loss 10.6838, time 11947.68ms, mfu 8.02%
iter 7: loss 10.6253, time 11941.89ms, mfu 8.02%
iter 8: loss 10.4929, time 11951.26ms, mfu 8.02%
iter 9: loss 10.4601, time 11922.25ms, mfu 8.02%
iter 10: loss 10.3518, time 11977.79ms, mfu 8.02%
iter 11: loss 10.2520, time 11920.48ms, mfu 8.02%
iter 12: loss 10.1471, time 11962.74ms, mfu 8.02%
iter 13: loss 10.0425, time 11946.41ms, mfu 8.02%
iter 14: loss 10.0608, time 11926.19ms, mfu 8.02%
iter 15: loss 10.0288, time 11914.84ms, mfu 8.02%
iter 16: loss 9.8229, time 11975.48ms, mfu 8.02%
iter 17: loss 9.7332, time 11955.56ms, mfu 8.02%
iter 18: loss 9.7029, time 11937.16ms, mfu 8.02%
iter 19: loss 9.6286, time 11923.25ms, mfu 8.02%
iter 20: loss 9.5659, time 11916.00ms, mfu 8.02%
iter 21: loss 9.5356, time 11936.31ms, mfu 8.02%
iter 22: loss 9.4809, time 11914.57ms, mfu 8.02%
iter 23: loss 9.3901, time 11950.27ms, mfu 8.02%
iter 24: loss 9.4977, time 11926.38ms, mfu 8.02%
iter 25: loss 9.3903, time 11946.17ms, mfu 8.02%
iter 26: loss 9.4507, time 11946.43ms, mfu 8.02%
iter 27: loss 9.4956, time 11955.28ms, mfu 8.02%
iter 28: loss 9.4827, time 11948.97ms, mfu 8.02%
iter 29: loss 9.3239, time 11963.99ms, mfu 8.02%
iter 30: loss 9.2496, time 12018.71ms, mfu 8.01%
iter 31: loss 9.3393, time 11999.61ms, mfu 8.01%
iter 32: loss 9.2923, time 12004.80ms, mfu 8.00%
iter 33: loss 9.2957, time 11978.19ms, mfu 8.00%
iter 34: loss 9.3815, time 12002.75ms, mfu 8.00%
iter 35: loss 9.2632, time 12029.60ms, mfu 8.00%
iter 36: loss 9.2915, time 12047.58ms, mfu 7.99%
iter 37: loss 9.2570, time 12026.57ms, mfu 7.99%
iter 38: loss 9.3323, time 12012.30ms, mfu 7.99%
iter 39: loss 9.1921, time 12042.50ms, mfu 7.98%
iter 40: loss 9.1994, time 12035.48ms, mfu 7.98%
iter 41: loss 9.1942, time 12036.12ms, mfu 7.98%
iter 42: loss 9.1649, time 12047.38ms, mfu 7.97%
iter 43: loss 9.2239, time 12025.73ms, mfu 7.97%
iter 44: loss 9.0829, time 12030.94ms, mfu 7.97%
iter 45: loss 9.1703, time 12030.27ms, mfu 7.97%
iter 46: loss 9.2930, time 12001.14ms, mfu 7.97%
iter 47: loss 9.2880, time 12035.21ms, mfu 7.97%
iter 48: loss 9.2026, time 12032.41ms, mfu 7.97%
iter 49: loss 9.2611, time 12025.40ms, mfu 7.97%
iter 50: loss 9.2152, time 12029.69ms, mfu 7.97%
iter 51: loss 9.3008, time 12023.21ms, mfu 7.97%
iter 52: loss 9.0705, time 12019.62ms, mfu 7.97%
iter 53: loss 9.0746, time 12010.93ms, mfu 7.97%
iter 54: loss 9.0510, time 12002.25ms, mfu 7.97%
iter 55: loss 9.0664, time 12032.67ms, mfu 7.97%
iter 56: loss 9.1517, time 12014.70ms, mfu 7.97%
iter 57: loss 9.1013, time 12016.15ms, mfu 7.97%
iter 58: loss 9.0126, time 11997.59ms, mfu 7.97%
iter 59: loss 9.0745, time 12014.04ms, mfu 7.97%
iter 60: loss 9.0285, time 12031.91ms, mfu 7.97%
iter 61: loss 8.9974, time 12037.87ms, mfu 7.97%
iter 62: loss 9.1029, time 12020.46ms, mfu 7.97%
iter 63: loss 9.0826, time 11999.62ms, mfu 7.97%
iter 64: loss 9.0172, time 12005.40ms, mfu 7.97%
iter 65: loss 8.9030, time 12000.10ms, mfu 7.97%
