step 0: train loss 10.9844, val loss 10.9843
iter 0: loss 11.0406, time 67746.80ms, mfu -100.00%
iter 1: loss 10.9624, time 11064.27ms, mfu -100.00%
iter 2: loss 10.9043, time 11776.68ms, mfu -100.00%
iter 3: loss 10.9086, time 11854.88ms, mfu -100.00%
iter 4: loss 10.8620, time 11947.93ms, mfu -100.00%
iter 5: loss 10.7986, time 11958.04ms, mfu 8.01%
iter 6: loss 10.6838, time 11986.71ms, mfu 8.00%
iter 7: loss 10.6253, time 11888.12ms, mfu 8.01%
iter 8: loss 10.4929, time 11941.25ms, mfu 8.01%
iter 9: loss 10.4602, time 11846.92ms, mfu 8.02%
iter 10: loss 10.3518, time 11844.84ms, mfu 8.02%
iter 11: loss 10.2519, time 11842.42ms, mfu 8.03%
iter 12: loss 10.1471, time 11802.39ms, mfu 8.04%
iter 13: loss 10.0425, time 11847.01ms, mfu 8.04%
iter 14: loss 10.0608, time 11883.42ms, mfu 8.04%
iter 15: loss 10.0288, time 11906.50ms, mfu 8.04%
iter 16: loss 9.8229, time 11908.00ms, mfu 8.04%
iter 17: loss 9.7332, time 11928.55ms, mfu 8.04%
iter 18: loss 9.7029, time 11934.36ms, mfu 8.04%
iter 19: loss 9.6286, time 12004.93ms, mfu 8.03%
iter 20: loss 9.5659, time 11941.03ms, mfu 8.03%
iter 21: loss 9.5357, time 11962.25ms, mfu 8.03%
iter 22: loss 9.4809, time 11965.35ms, mfu 8.03%
iter 23: loss 9.3900, time 12016.56ms, mfu 8.02%
iter 24: loss 9.4977, time 12012.24ms, mfu 8.02%
iter 25: loss 9.3903, time 12021.55ms, mfu 8.01%
iter 26: loss 9.4506, time 12040.35ms, mfu 8.00%
iter 27: loss 9.4956, time 12008.09ms, mfu 8.00%
iter 28: loss 9.4827, time 11989.35ms, mfu 8.00%
iter 29: loss 9.3239, time 12066.09ms, mfu 7.99%
iter 30: loss 9.2496, time 12037.70ms, mfu 7.99%
iter 31: loss 9.3392, time 12050.71ms, mfu 7.98%
iter 32: loss 9.2923, time 12067.22ms, mfu 7.98%
