step 0: train loss 10.9821, val loss 10.9829
iter 0: loss 10.9914, time 45554.51ms, mfu -100.00%
iter 1: loss 11.0283, time 2635.44ms, mfu -100.00%
iter 2: loss 10.9577, time 2758.94ms, mfu -100.00%
iter 3: loss 10.8935, time 2774.21ms, mfu -100.00%
iter 4: loss 10.8569, time 2801.72ms, mfu -100.00%
iter 5: loss 10.7868, time 2793.76ms, mfu 6.19%
iter 6: loss 10.7450, time 2818.28ms, mfu 6.18%
iter 7: loss 10.6946, time 2917.38ms, mfu 6.16%
iter 8: loss 10.5518, time 2833.75ms, mfu 6.15%
iter 9: loss 10.3811, time 2758.00ms, mfu 6.16%
iter 10: loss 10.3090, time 2776.75ms, mfu 6.17%
iter 11: loss 10.1165, time 2802.66ms, mfu 6.17%
iter 12: loss 10.1649, time 2779.81ms, mfu 6.17%
iter 13: loss 10.1232, time 2783.07ms, mfu 6.18%
iter 14: loss 9.9166, time 2838.16ms, mfu 6.17%
iter 15: loss 9.9760, time 2869.95ms, mfu 6.15%
iter 16: loss 9.9061, time 2877.99ms, mfu 6.14%
iter 17: loss 9.8130, time 2887.52ms, mfu 6.12%
iter 18: loss 9.6931, time 2900.33ms, mfu 6.11%
iter 19: loss 9.5193, time 2892.63ms, mfu 6.09%
iter 20: loss 9.7712, time 3101.55ms, mfu 6.04%
iter 21: loss 9.5367, time 2695.29ms, mfu 6.08%
iter 22: loss 9.1853, time 2829.49ms, mfu 6.08%
iter 23: loss 9.2709, time 3016.30ms, mfu 6.05%
iter 24: loss 9.3642, time 2742.89ms, mfu 6.07%
iter 25: loss 9.1571, time 2860.83ms, mfu 6.07%
iter 26: loss 9.3088, time 3011.04ms, mfu 6.04%
iter 27: loss 9.1080, time 2795.60ms, mfu 6.05%
iter 28: loss 9.2582, time 3120.48ms, mfu 6.00%
iter 29: loss 9.2729, time 2616.70ms, mfu 6.06%
iter 30: loss 9.3501, time 2898.04ms, mfu 6.05%
iter 31: loss 8.9835, time 2857.38ms, mfu 6.05%
iter 32: loss 9.0803, time 2904.60ms, mfu 6.04%
iter 33: loss 9.2429, time 2906.14ms, mfu 6.03%
iter 34: loss 9.3903, time 2862.78ms, mfu 6.03%
iter 35: loss 9.2266, time 2948.72ms, mfu 6.01%
iter 36: loss 9.0530, time 2891.13ms, mfu 6.01%
iter 37: loss 8.9235, time 2808.54ms, mfu 6.02%
iter 38: loss 9.2231, time 2766.52ms, mfu 6.05%
iter 39: loss 9.0871, time 2826.75ms, mfu 6.05%
iter 40: loss 9.1950, time 3051.28ms, mfu 6.01%
iter 41: loss 9.6461, time 2725.91ms, mfu 6.05%
iter 42: loss 9.0379, time 2905.34ms, mfu 6.04%
iter 43: loss 9.0802, time 2896.89ms, mfu 6.03%
iter 44: loss 9.1290, time 3045.68ms, mfu 5.99%
iter 45: loss 8.7869, time 2809.08ms, mfu 6.01%
iter 46: loss 9.1321, time 2830.28ms, mfu 6.02%
iter 47: loss 8.9673, time 2939.65ms, mfu 6.01%
iter 48: loss 9.1115, time 2875.03ms, mfu 6.01%
iter 49: loss 8.9079, time 3022.32ms, mfu 5.98%
iter 50: loss 9.0417, time 2782.27ms, mfu 6.00%
iter 51: loss 9.0321, time 2948.29ms, mfu 5.99%
iter 52: loss 8.9656, time 2932.71ms, mfu 5.98%
iter 53: loss 9.1914, time 2847.88ms, mfu 5.99%
iter 54: loss 9.2193, time 2924.46ms, mfu 5.98%
iter 55: loss 8.9779, time 2996.38ms, mfu 5.96%
iter 56: loss 8.8924, time 2915.17ms, mfu 5.96%
iter 57: loss 9.0691, time 2958.53ms, mfu 5.94%
iter 58: loss 9.0513, time 2920.38ms, mfu 5.94%
iter 59: loss 9.0063, time 2909.49ms, mfu 5.94%
iter 60: loss 8.7506, time 2855.57ms, mfu 5.95%
iter 61: loss 8.8983, time 2890.13ms, mfu 5.95%
iter 62: loss 8.7627, time 2909.95ms, mfu 5.95%
iter 63: loss 8.8219, time 2904.05ms, mfu 5.95%
iter 64: loss 8.7354, time 2888.62ms, mfu 5.96%
iter 65: loss 8.8246, time 2908.81ms, mfu 5.95%
iter 66: loss 8.9509, time 2931.56ms, mfu 5.95%
iter 67: loss 8.8316, time 2933.00ms, mfu 5.94%
iter 68: loss 8.7518, time 2908.72ms, mfu 5.94%
iter 69: loss 8.7562, time 2787.59ms, mfu 5.97%
iter 70: loss 9.2331, time 2814.75ms, mfu 5.99%
iter 71: loss 8.6601, time 2864.47ms, mfu 5.99%
iter 72: loss 8.6902, time 2938.54ms, mfu 5.98%
iter 73: loss 8.9100, time 2927.09ms, mfu 5.97%
iter 74: loss 8.8536, time 2965.31ms, mfu 5.96%
iter 75: loss 8.7471, time 2861.47ms, mfu 5.97%
iter 76: loss 8.7548, time 2915.38ms, mfu 5.96%
iter 77: loss 8.8176, time 2948.67ms, mfu 5.95%
iter 78: loss 8.6549, time 2957.38ms, mfu 5.94%
iter 79: loss 8.8414, time 2886.27ms, mfu 5.95%
iter 80: loss 8.8592, time 3226.01ms, mfu 5.89%
iter 81: loss 8.6838, time 2578.02ms, mfu 5.97%
iter 82: loss 8.6709, time 2871.87ms, mfu 5.97%
iter 83: loss 8.7700, time 2971.16ms, mfu 5.96%
iter 84: loss 8.7674, time 2910.04ms, mfu 5.96%
iter 85: loss 8.7397, time 3114.15ms, mfu 5.92%
iter 86: loss 8.7748, time 2667.60ms, mfu 5.97%
iter 87: loss 8.7797, time 2906.04ms, mfu 5.97%
iter 88: loss 8.5933, time 2977.88ms, mfu 5.95%
iter 89: loss 8.6117, time 2894.17ms, mfu 5.95%
iter 90: loss 8.7040, time 3127.85ms, mfu 5.91%
iter 91: loss 8.5600, time 2787.18ms, mfu 5.94%
iter 92: loss 8.7594, time 2853.00ms, mfu 5.95%
iter 93: loss 8.6054, time 2943.41ms, mfu 5.94%
iter 94: loss 9.1742, time 2865.33ms, mfu 5.95%
iter 95: loss 8.6602, time 2954.67ms, mfu 5.94%
iter 96: loss 8.2736, time 2864.81ms, mfu 5.95%
iter 97: loss 8.4514, time 2752.42ms, mfu 5.98%
iter 98: loss 8.5122, time 2742.09ms, mfu 6.02%
iter 99: loss 8.3342, time 2842.37ms, mfu 6.02%
iter 100: loss 8.5136, time 2859.75ms, mfu 6.02%
iter 101: loss 8.4833, time 2879.88ms, mfu 6.02%
iter 102: loss 8.7331, time 2919.75ms, mfu 6.01%
iter 103: loss 8.6084, time 2866.51ms, mfu 6.01%
iter 104: loss 8.4898, time 2937.16ms, mfu 6.00%
iter 105: loss 8.4481, time 2934.03ms, mfu 5.99%
iter 106: loss 8.2874, time 2856.32ms, mfu 6.00%
iter 107: loss 8.4831, time 2831.97ms, mfu 6.01%
iter 108: loss 8.1824, time 2938.84ms, mfu 5.99%
iter 109: loss 8.5407, time 2861.86ms, mfu 6.00%
iter 110: loss 8.4688, time 2914.49ms, mfu 5.99%
iter 111: loss 8.3200, time 2875.11ms, mfu 5.99%
iter 112: loss 8.2348, time 2918.28ms, mfu 5.99%
iter 113: loss 8.1935, time 2954.82ms, mfu 5.97%
iter 114: loss 8.8839, time 2907.15ms, mfu 5.97%
iter 115: loss 8.3841, time 2879.38ms, mfu 5.97%
iter 116: loss 8.0628, time 2980.18ms, mfu 5.96%
iter 117: loss 8.3665, time 2881.39ms, mfu 5.96%
iter 118: loss 8.4196, time 2918.49ms, mfu 5.96%
iter 119: loss 8.2548, time 2900.13ms, mfu 5.96%
iter 120: loss 8.2822, time 2911.38ms, mfu 5.95%
iter 121: loss 8.1154, time 2997.16ms, mfu 5.94%
iter 122: loss 8.1379, time 2943.08ms, mfu 5.93%
iter 123: loss 8.1931, time 2898.54ms, mfu 5.93%
iter 124: loss 8.2986, time 2900.01ms, mfu 5.94%
iter 125: loss 8.3689, time 2950.77ms, mfu 5.93%
iter 126: loss 8.1570, time 2742.03ms, mfu 5.97%
iter 127: loss 7.9447, time 2706.38ms, mfu 6.01%
iter 128: loss 8.2074, time 2762.52ms, mfu 6.03%
iter 129: loss 8.2454, time 2734.97ms, mfu 6.06%
iter 130: loss 8.2591, time 2892.52ms, mfu 6.05%
iter 131: loss 8.6733, time 2893.70ms, mfu 6.04%
iter 132: loss 7.8275, time 2908.27ms, mfu 6.03%
iter 133: loss 8.1332, time 2897.02ms, mfu 6.03%
iter 134: loss 8.0777, time 2909.52ms, mfu 6.02%
iter 135: loss 7.9566, time 2919.89ms, mfu 6.01%
iter 136: loss 7.9102, time 2858.48ms, mfu 6.01%
iter 137: loss 7.8097, time 2922.84ms, mfu 6.00%
iter 138: loss 8.1072, time 2927.75ms, mfu 5.99%
iter 139: loss 8.0032, time 2936.86ms, mfu 5.98%
iter 140: loss 7.8176, time 2880.68ms, mfu 5.98%
iter 141: loss 8.1936, time 3065.11ms, mfu 5.95%
iter 142: loss 7.8739, time 2735.05ms, mfu 5.99%
iter 143: loss 7.9478, time 2899.36ms, mfu 5.98%
iter 144: loss 7.9998, time 2857.84ms, mfu 5.99%
iter 145: loss 7.8798, time 2913.44ms, mfu 5.98%
iter 146: loss 8.2059, time 2902.37ms, mfu 5.98%
iter 147: loss 7.9960, time 2932.47ms, mfu 5.97%
iter 148: loss 8.4369, time 2933.97ms, mfu 5.96%
iter 149: loss 7.7785, time 2858.21ms, mfu 5.97%
iter 150: loss 7.8091, time 2864.79ms, mfu 5.98%
iter 151: loss 7.7529, time 2864.51ms, mfu 5.98%
iter 152: loss 7.6497, time 2918.03ms, mfu 5.98%
iter 153: loss 7.7270, time 2898.26ms, mfu 5.98%
iter 154: loss 7.6261, time 2895.31ms, mfu 5.98%
iter 155: loss 8.8370, time 3032.93ms, mfu 5.95%
iter 156: loss 7.7195, time 2777.40ms, mfu 5.98%
iter 157: loss 7.5073, time 2906.65ms, mfu 5.97%
iter 158: loss 7.7133, time 2911.80ms, mfu 5.97%
iter 159: loss 7.5377, time 2869.00ms, mfu 5.97%
iter 160: loss 7.5654, time 2899.69ms, mfu 5.97%
iter 161: loss 7.8667, time 2933.31ms, mfu 5.96%
iter 162: loss 7.9277, time 2920.62ms, mfu 5.96%
iter 163: loss 7.7611, time 2841.29ms, mfu 5.97%
iter 164: loss 7.5867, time 3244.01ms, mfu 5.91%
iter 165: loss 7.5058, time 2505.62ms, mfu 6.01%
iter 166: loss 7.4425, time 2829.16ms, mfu 6.02%
iter 167: loss 7.6716, time 2764.21ms, mfu 6.04%
iter 168: loss 7.6322, time 2995.91ms, mfu 6.01%
