step 0: train loss 10.9837, val loss 10.9822
iter 0: loss 11.0060, time 45268.31ms, mfu -100.00%
iter 1: loss 10.9579, time 218.46ms, mfu -100.00%
iter 2: loss 10.9307, time 1443.69ms, mfu -100.00%
iter 3: loss 10.9197, time 1433.96ms, mfu -100.00%
iter 4: loss 10.8471, time 1449.12ms, mfu -100.00%
iter 5: loss 10.8153, time 1453.77ms, mfu 11.89%
iter 6: loss 10.7447, time 1455.61ms, mfu 11.89%
iter 7: loss 10.6545, time 1441.39ms, mfu 11.90%
iter 8: loss 10.5006, time 1438.14ms, mfu 11.91%
iter 9: loss 10.4214, time 1453.75ms, mfu 11.91%
iter 10: loss 10.3669, time 1445.87ms, mfu 11.91%
iter 11: loss 10.1988, time 1453.98ms, mfu 11.91%
iter 12: loss 10.1405, time 1432.37ms, mfu 11.92%
iter 13: loss 10.1401, time 1452.31ms, mfu 11.92%
iter 14: loss 9.9841, time 1441.06ms, mfu 11.93%
iter 15: loss 9.8934, time 1437.58ms, mfu 11.94%
iter 16: loss 9.8056, time 1456.02ms, mfu 11.93%
iter 17: loss 9.7705, time 1441.97ms, mfu 11.94%
iter 18: loss 9.6826, time 1444.42ms, mfu 11.94%
iter 19: loss 9.6728, time 1500.66ms, mfu 11.90%
