step 0: train loss 10.9823, val loss 10.9847
iter 0: loss 10.9788, time 77435.93ms, mfu -100.00%
iter 1: loss 10.9827, time 1010.68ms, mfu -100.00%
iter 2: loss 10.9360, time 986.85ms, mfu -100.00%
iter 3: loss 10.9047, time 1390.79ms, mfu -100.00%
iter 4: loss 10.8583, time 1421.94ms, mfu -100.00%
iter 5: loss 10.7656, time 1390.21ms, mfu 13.26%
iter 6: loss 10.7128, time 1415.45ms, mfu 13.24%
iter 7: loss 10.6017, time 1416.56ms, mfu 13.21%
iter 8: loss 10.5497, time 1504.41ms, mfu 13.12%
iter 9: loss 10.4369, time 1416.65ms, mfu 13.11%
iter 10: loss 10.3347, time 1414.89ms, mfu 13.10%
iter 11: loss 10.2174, time 1398.44ms, mfu 13.11%
iter 12: loss 10.1266, time 1408.22ms, mfu 13.11%
iter 13: loss 10.0408, time 1414.25ms, mfu 13.10%
iter 14: loss 9.9619, time 1421.35ms, mfu 13.09%
iter 15: loss 9.8542, time 1392.71ms, mfu 13.10%
iter 16: loss 9.7679, time 1442.45ms, mfu 13.07%
iter 17: loss 9.7051, time 1399.13ms, mfu 13.08%
iter 18: loss 9.6927, time 1395.87ms, mfu 13.09%
iter 19: loss 9.5975, time 1379.53ms, mfu 13.12%
iter 20: loss 9.4763, time 1405.45ms, mfu 13.12%
iter 21: loss 9.5676, time 1417.76ms, mfu 13.11%
iter 22: loss 9.4528, time 1399.67ms, mfu 13.11%
iter 23: loss 9.4640, time 1387.84ms, mfu 13.13%
iter 24: loss 9.3905, time 1411.18ms, mfu 13.12%
iter 25: loss 9.3220, time 1407.35ms, mfu 13.12%
iter 26: loss 9.2497, time 1383.27ms, mfu 13.14%
iter 27: loss 9.2827, time 1382.61ms, mfu 13.16%
iter 28: loss 9.2795, time 1470.10ms, mfu 13.10%
iter 29: loss 9.1794, time 1433.53ms, mfu 13.08%
iter 30: loss 9.1939, time 1407.16ms, mfu 13.08%
iter 31: loss 9.0918, time 1447.11ms, mfu 13.04%
iter 32: loss 9.2487, time 1395.09ms, mfu 13.06%
iter 33: loss 9.0895, time 1407.20ms, mfu 13.07%
iter 34: loss 9.1804, time 1418.45ms, mfu 13.06%
iter 35: loss 9.1196, time 1407.93ms, mfu 13.06%
iter 36: loss 9.1274, time 1400.68ms, mfu 13.07%
iter 37: loss 9.0488, time 1406.93ms, mfu 13.07%
iter 38: loss 9.0978, time 1406.62ms, mfu 13.08%
iter 39: loss 9.1539, time 1450.27ms, mfu 13.04%
iter 40: loss 9.1106, time 1398.25ms, mfu 13.06%
iter 41: loss 9.0685, time 1421.35ms, mfu 13.05%
iter 42: loss 9.0733, time 1405.98ms, mfu 13.05%
iter 43: loss 9.0228, time 1399.23ms, mfu 13.07%
iter 44: loss 8.9979, time 1406.06ms, mfu 13.07%
iter 45: loss 9.0730, time 1412.41ms, mfu 13.07%
iter 46: loss 9.0232, time 1423.76ms, mfu 13.06%
iter 47: loss 9.0597, time 1437.69ms, mfu 13.03%
iter 48: loss 9.0643, time 1382.96ms, mfu 13.06%
iter 49: loss 8.9192, time 1428.78ms, mfu 13.05%
iter 50: loss 9.0937, time 1384.99ms, mfu 13.07%
iter 51: loss 8.9132, time 1442.27ms, mfu 13.04%
iter 52: loss 9.0481, time 1367.21ms, mfu 13.09%
iter 53: loss 9.0706, time 1404.08ms, mfu 13.09%
iter 54: loss 8.9511, time 1386.96ms, mfu 13.11%
iter 55: loss 8.8937, time 1371.88ms, mfu 13.14%
iter 56: loss 8.9603, time 978.49ms, mfu 13.71%
iter 57: loss 8.9494, time 558.16ms, mfu 15.65%
iter 58: loss 8.9209, time 537.29ms, mfu 17.51%
iter 59: loss 8.9652, time 544.67ms, mfu 19.15%
iter 60: loss 8.8620, time 545.42ms, mfu 20.61%
iter 61: loss 8.9261, time 547.95ms, mfu 21.91%
iter 62: loss 8.9089, time 546.11ms, mfu 23.10%
iter 63: loss 8.9003, time 545.97ms, mfu 24.17%
iter 64: loss 8.8551, time 550.95ms, mfu 25.09%
