step 0: train loss 11.0327, val loss 11.0327
iter 0: loss 11.0836, time 57243.04ms, mfu -100.00%
iter 1: loss 11.0054, time 305.18ms, mfu -100.00%
iter 2: loss 10.9815, time 756.42ms, mfu -100.00%
iter 3: loss 10.9314, time 752.83ms, mfu -100.00%
iter 4: loss 10.8744, time 750.53ms, mfu -100.00%
iter 5: loss 10.7867, time 756.16ms, mfu 30.72%
iter 6: loss 10.6702, time 752.43ms, mfu 30.73%
iter 7: loss 10.6027, time 752.12ms, mfu 30.75%
iter 8: loss 10.4896, time 753.96ms, mfu 30.75%
iter 9: loss 10.3080, time 754.57ms, mfu 30.76%
iter 10: loss 10.2120, time 750.04ms, mfu 30.78%
iter 11: loss 10.1847, time 753.77ms, mfu 30.78%
iter 12: loss 10.0624, time 752.66ms, mfu 30.79%
iter 13: loss 9.9051, time 752.70ms, mfu 30.80%
iter 14: loss 9.9191, time 753.49ms, mfu 30.80%
iter 15: loss 9.7359, time 753.42ms, mfu 30.80%
iter 16: loss 9.7504, time 751.70ms, mfu 30.81%
iter 17: loss 9.6107, time 753.56ms, mfu 30.81%
iter 18: loss 9.5679, time 752.65ms, mfu 30.82%
iter 19: loss 9.5658, time 752.54ms, mfu 30.82%
iter 20: loss 9.4853, time 752.40ms, mfu 30.83%
iter 21: loss 9.4804, time 753.73ms, mfu 30.83%
iter 22: loss 9.3213, time 751.49ms, mfu 30.83%
iter 23: loss 9.4541, time 753.80ms, mfu 30.83%
iter 24: loss 9.3426, time 753.38ms, mfu 30.83%
iter 25: loss 9.3661, time 751.59ms, mfu 30.84%
iter 26: loss 9.1641, time 752.03ms, mfu 30.84%
iter 27: loss 9.1399, time 753.89ms, mfu 30.84%
iter 28: loss 9.0717, time 751.69ms, mfu 30.85%
iter 29: loss 9.0992, time 752.04ms, mfu 30.85%
iter 30: loss 9.1043, time 754.14ms, mfu 30.85%
iter 31: loss 9.1379, time 753.93ms, mfu 30.84%
iter 32: loss 9.0992, time 752.78ms, mfu 30.84%
iter 33: loss 9.0978, time 753.24ms, mfu 30.84%
iter 34: loss 9.0270, time 753.48ms, mfu 30.84%
iter 35: loss 9.0013, time 753.01ms, mfu 30.84%
iter 36: loss 9.0461, time 753.59ms, mfu 30.84%
iter 37: loss 9.0838, time 751.94ms, mfu 30.84%
iter 38: loss 8.9661, time 753.04ms, mfu 30.84%
iter 39: loss 9.1127, time 754.04ms, mfu 30.84%
iter 40: loss 9.0300, time 752.88ms, mfu 30.84%
iter 41: loss 9.0248, time 754.52ms, mfu 30.84%
iter 42: loss 9.0287, time 756.88ms, mfu 30.82%
iter 43: loss 8.9477, time 752.93ms, mfu 30.82%
iter 44: loss 9.0226, time 752.59ms, mfu 30.83%
iter 45: loss 9.0845, time 753.96ms, mfu 30.83%
iter 46: loss 9.0141, time 752.51ms, mfu 30.83%
iter 47: loss 9.0784, time 754.27ms, mfu 30.83%
iter 48: loss 8.8510, time 752.66ms, mfu 30.83%
iter 49: loss 8.9782, time 751.96ms, mfu 30.84%
iter 50: loss 8.9112, time 754.97ms, mfu 30.83%
iter 51: loss 8.9430, time 753.31ms, mfu 30.83%
iter 52: loss 9.0000, time 752.09ms, mfu 30.83%
iter 53: loss 8.9807, time 753.87ms, mfu 30.83%
iter 54: loss 8.9134, time 753.24ms, mfu 30.83%
iter 55: loss 8.9537, time 753.33ms, mfu 30.83%
iter 56: loss 8.9088, time 754.05ms, mfu 30.83%
iter 57: loss 9.0114, time 753.58ms, mfu 30.83%
iter 58: loss 8.8697, time 751.59ms, mfu 30.84%
iter 59: loss 8.8985, time 754.88ms, mfu 30.83%
iter 60: loss 8.9722, time 752.90ms, mfu 30.83%
iter 61: loss 8.9027, time 752.65ms, mfu 30.83%
iter 62: loss 8.9575, time 755.49ms, mfu 30.83%
iter 63: loss 8.9750, time 753.66ms, mfu 30.83%
iter 64: loss 8.8058, time 754.68ms, mfu 30.82%
iter 65: loss 9.0792, time 753.42ms, mfu 30.82%
iter 66: loss 8.8279, time 756.02ms, mfu 30.81%
iter 67: loss 8.8494, time 752.83ms, mfu 30.82%
iter 68: loss 8.8047, time 753.30ms, mfu 30.82%
iter 69: loss 8.8860, time 752.24ms, mfu 30.82%
iter 70: loss 8.8140, time 754.75ms, mfu 30.82%
iter 71: loss 8.8884, time 753.45ms, mfu 30.82%
iter 72: loss 8.7418, time 751.36ms, mfu 30.83%
iter 73: loss 8.8274, time 753.64ms, mfu 30.83%
iter 74: loss 8.9178, time 754.23ms, mfu 30.83%
iter 75: loss 8.8191, time 752.44ms, mfu 30.83%
iter 76: loss 8.8262, time 753.32ms, mfu 30.83%
iter 77: loss 8.7604, time 753.57ms, mfu 30.83%
iter 78: loss 8.6968, time 751.78ms, mfu 30.84%
iter 79: loss 8.8264, time 752.42ms, mfu 30.84%
iter 80: loss 8.7358, time 754.34ms, mfu 30.83%
iter 81: loss 8.7306, time 753.78ms, mfu 30.83%
iter 82: loss 8.7466, time 752.29ms, mfu 30.84%
iter 83: loss 8.7265, time 753.62ms, mfu 30.84%
iter 84: loss 8.6309, time 752.51ms, mfu 30.84%
iter 85: loss 8.6103, time 752.59ms, mfu 30.84%
iter 86: loss 8.7565, time 754.46ms, mfu 30.84%
iter 87: loss 8.7660, time 752.16ms, mfu 30.84%
iter 88: loss 8.6796, time 752.52ms, mfu 30.84%
iter 89: loss 8.6863, time 753.06ms, mfu 30.84%
iter 90: loss 8.6338, time 752.22ms, mfu 30.85%
iter 91: loss 8.7599, time 752.72ms, mfu 30.85%
iter 92: loss 8.5356, time 752.78ms, mfu 30.85%
iter 93: loss 8.6242, time 753.00ms, mfu 30.85%
iter 94: loss 8.6031, time 751.66ms, mfu 30.85%
iter 95: loss 8.5920, time 752.96ms, mfu 30.85%
iter 96: loss 8.9650, time 753.12ms, mfu 30.85%
iter 97: loss 8.6973, time 753.17ms, mfu 30.85%
iter 98: loss 8.6423, time 753.65ms, mfu 30.85%
iter 99: loss 8.4401, time 755.02ms, mfu 30.84%
iter 100: loss 8.5269, time 751.66ms, mfu 30.85%
iter 101: loss 8.4445, time 753.61ms, mfu 30.84%
iter 102: loss 8.5041, time 752.50ms, mfu 30.85%
iter 103: loss 8.4793, time 753.58ms, mfu 30.84%
iter 104: loss 8.4731, time 754.09ms, mfu 30.84%
iter 105: loss 8.4008, time 753.37ms, mfu 30.84%
iter 106: loss 8.4412, time 753.40ms, mfu 30.84%
iter 107: loss 8.4464, time 753.21ms, mfu 30.84%
iter 108: loss 8.4164, time 753.37ms, mfu 30.84%
iter 109: loss 8.5155, time 755.16ms, mfu 30.83%
iter 110: loss 8.4129, time 753.50ms, mfu 30.83%
iter 111: loss 8.3823, time 753.45ms, mfu 30.83%
iter 112: loss 8.2899, time 753.54ms, mfu 30.83%
iter 113: loss 8.4006, time 753.04ms, mfu 30.83%
iter 114: loss 8.3486, time 753.60ms, mfu 30.83%
iter 115: loss 8.3963, time 753.08ms, mfu 30.83%
iter 116: loss 8.3311, time 752.30ms, mfu 30.84%
iter 117: loss 8.3377, time 754.06ms, mfu 30.83%
iter 118: loss 8.2510, time 752.85ms, mfu 30.83%
iter 119: loss 8.3546, time 752.79ms, mfu 30.84%
iter 120: loss 8.2657, time 754.25ms, mfu 30.83%
iter 121: loss 8.2011, time 753.07ms, mfu 30.83%
iter 122: loss 8.2887, time 752.58ms, mfu 30.84%
iter 123: loss 8.2827, time 755.44ms, mfu 30.83%
iter 124: loss 8.2408, time 753.79ms, mfu 30.83%
iter 125: loss 8.2698, time 754.33ms, mfu 30.82%
iter 126: loss 8.1626, time 754.20ms, mfu 30.82%
iter 127: loss 8.1751, time 753.01ms, mfu 30.82%
iter 128: loss 8.0321, time 754.15ms, mfu 30.82%
iter 129: loss 8.0971, time 755.06ms, mfu 30.81%
iter 130: loss 8.0563, time 754.41ms, mfu 30.81%
iter 131: loss 8.2594, time 755.82ms, mfu 30.80%
iter 132: loss 8.1427, time 753.75ms, mfu 30.81%
iter 133: loss 8.1906, time 753.25ms, mfu 30.81%
iter 134: loss 8.2701, time 753.78ms, mfu 30.81%
iter 135: loss 8.0489, time 754.08ms, mfu 30.81%
iter 136: loss 8.1947, time 755.48ms, mfu 30.80%
iter 137: loss 8.2152, time 753.98ms, mfu 30.80%
iter 138: loss 8.2245, time 756.39ms, mfu 30.79%
iter 139: loss 8.0489, time 754.52ms, mfu 30.79%
iter 140: loss 8.1484, time 754.94ms, mfu 30.79%
iter 141: loss 7.9627, time 754.24ms, mfu 30.79%
iter 142: loss 8.0919, time 754.99ms, mfu 30.79%
iter 143: loss 8.0507, time 755.24ms, mfu 30.78%
iter 144: loss 7.9117, time 755.57ms, mfu 30.78%
iter 145: loss 7.9640, time 754.77ms, mfu 30.78%
iter 146: loss 7.9658, time 754.75ms, mfu 30.78%
iter 147: loss 7.9215, time 754.96ms, mfu 30.78%
iter 148: loss 7.9884, time 755.77ms, mfu 30.77%
iter 149: loss 7.8723, time 754.66ms, mfu 30.77%
iter 150: loss 7.8977, time 755.97ms, mfu 30.77%
iter 151: loss 7.9459, time 755.03ms, mfu 30.77%
iter 152: loss 7.8720, time 755.12ms, mfu 30.77%
iter 153: loss 7.8142, time 756.39ms, mfu 30.76%
iter 154: loss 7.9251, time 755.33ms, mfu 30.76%
iter 155: loss 7.9527, time 754.33ms, mfu 30.76%
iter 156: loss 7.8953, time 756.46ms, mfu 30.76%
iter 157: loss 7.8674, time 755.51ms, mfu 30.76%
iter 158: loss 7.8089, time 755.35ms, mfu 30.76%
iter 159: loss 7.8497, time 755.58ms, mfu 30.75%
iter 160: loss 7.7491, time 755.82ms, mfu 30.75%
iter 161: loss 7.7262, time 756.44ms, mfu 30.75%
iter 162: loss 7.8160, time 757.26ms, mfu 30.74%
iter 163: loss 7.8502, time 755.19ms, mfu 30.74%
iter 164: loss 7.6019, time 757.23ms, mfu 30.74%
iter 165: loss 7.6723, time 756.49ms, mfu 30.73%
iter 166: loss 7.5858, time 755.53ms, mfu 30.73%
iter 167: loss 7.6711, time 755.65ms, mfu 30.73%
iter 168: loss 7.8475, time 756.24ms, mfu 30.73%
iter 169: loss 7.6284, time 757.20ms, mfu 30.73%
iter 170: loss 7.7285, time 757.99ms, mfu 30.72%
iter 171: loss 7.6777, time 756.74ms, mfu 30.72%
iter 172: loss 7.6163, time 756.54ms, mfu 30.71%
iter 173: loss 7.5431, time 756.06ms, mfu 30.71%
iter 174: loss 7.5357, time 756.67ms, mfu 30.71%
iter 175: loss 7.6354, time 755.48ms, mfu 30.72%
iter 176: loss 7.7133, time 757.36ms, mfu 30.71%
iter 177: loss 7.4403, time 756.04ms, mfu 30.71%
iter 178: loss 7.5770, time 757.61ms, mfu 30.71%
iter 179: loss 7.6553, time 755.95ms, mfu 30.71%
iter 180: loss 7.3850, time 757.19ms, mfu 30.71%
iter 181: loss 7.4205, time 756.35ms, mfu 30.71%
iter 182: loss 7.5089, time 756.63ms, mfu 30.71%
iter 183: loss 7.4726, time 755.97ms, mfu 30.71%
iter 184: loss 7.4430, time 756.95ms, mfu 30.71%
iter 185: loss 7.7362, time 757.77ms, mfu 30.70%
iter 186: loss 7.4360, time 756.36ms, mfu 30.70%
iter 187: loss 7.4211, time 757.68ms, mfu 30.70%
iter 188: loss 7.4434, time 756.85ms, mfu 30.70%
iter 189: loss 7.3168, time 757.31ms, mfu 30.69%
iter 190: loss 7.5579, time 756.85ms, mfu 30.69%
iter 191: loss 7.5524, time 757.89ms, mfu 30.69%
iter 192: loss 7.5966, time 756.66ms, mfu 30.69%
iter 193: loss 7.4222, time 758.21ms, mfu 30.68%
iter 194: loss 7.5902, time 757.08ms, mfu 30.68%
iter 195: loss 7.5734, time 757.35ms, mfu 30.68%
iter 196: loss 7.4244, time 757.56ms, mfu 30.68%
iter 197: loss 7.4718, time 756.53ms, mfu 30.68%
iter 198: loss 7.5473, time 758.01ms, mfu 30.68%
iter 199: loss 7.1997, time 758.64ms, mfu 30.67%
iter 200: loss 7.3633, time 755.84ms, mfu 30.68%
iter 201: loss 7.2415, time 757.46ms, mfu 30.68%
iter 202: loss 7.4502, time 759.35ms, mfu 30.67%
iter 203: loss 7.2547, time 755.81ms, mfu 30.67%
iter 204: loss 7.6167, time 759.85ms, mfu 30.66%
iter 205: loss 7.4773, time 755.78ms, mfu 30.67%
iter 206: loss 7.3147, time 758.08ms, mfu 30.67%
iter 207: loss 7.1380, time 757.99ms, mfu 30.67%
iter 208: loss 7.3219, time 757.22ms, mfu 30.67%
iter 209: loss 7.2992, time 757.14ms, mfu 30.67%
iter 210: loss 7.3252, time 757.45ms, mfu 30.67%
iter 211: loss 7.0649, time 757.77ms, mfu 30.67%
iter 212: loss 7.0177, time 758.00ms, mfu 30.66%
iter 213: loss 7.2475, time 757.83ms, mfu 30.66%
iter 214: loss 7.1491, time 759.41ms, mfu 30.65%
iter 215: loss 7.2059, time 757.18ms, mfu 30.66%
iter 216: loss 7.2850, time 758.21ms, mfu 30.65%
iter 217: loss 7.3355, time 759.76ms, mfu 30.65%
iter 218: loss 7.2519, time 757.94ms, mfu 30.65%
iter 219: loss 7.2086, time 758.65ms, mfu 30.64%
iter 220: loss 7.3592, time 757.61ms, mfu 30.64%
iter 221: loss 7.1870, time 759.12ms, mfu 30.64%
iter 222: loss 7.1739, time 756.38ms, mfu 30.65%
iter 223: loss 7.2151, time 758.68ms, mfu 30.64%
iter 224: loss 7.2372, time 757.56ms, mfu 30.65%
iter 225: loss 7.1088, time 758.93ms, mfu 30.64%
iter 226: loss 7.2892, time 760.20ms, mfu 30.63%
iter 227: loss 7.5431, time 758.67ms, mfu 30.63%
iter 228: loss 7.1057, time 757.38ms, mfu 30.63%
iter 229: loss 7.1530, time 759.23ms, mfu 30.63%
iter 230: loss 7.0878, time 757.76ms, mfu 30.63%
iter 231: loss 7.1036, time 758.63ms, mfu 30.63%
iter 232: loss 7.0267, time 760.04ms, mfu 30.62%
iter 233: loss 7.5701, time 760.05ms, mfu 30.62%
iter 234: loss 7.2022, time 758.95ms, mfu 30.62%
iter 235: loss 7.0988, time 759.19ms, mfu 30.61%
iter 236: loss 7.2922, time 756.28ms, mfu 30.62%
iter 237: loss 6.9208, time 759.29ms, mfu 30.62%
iter 238: loss 7.2072, time 758.86ms, mfu 30.62%
iter 239: loss 7.0984, time 757.29ms, mfu 30.62%
iter 240: loss 7.2185, time 759.78ms, mfu 30.62%
iter 241: loss 7.0249, time 759.11ms, mfu 30.62%
iter 242: loss 7.4297, time 758.68ms, mfu 30.62%
iter 243: loss 6.9308, time 758.27ms, mfu 30.62%
iter 244: loss 7.0925, time 759.45ms, mfu 30.62%
iter 245: loss 7.1838, time 759.86ms, mfu 30.61%
iter 246: loss 7.0710, time 757.84ms, mfu 30.61%
iter 247: loss 7.1348, time 759.10ms, mfu 30.61%
iter 248: loss 7.1025, time 758.76ms, mfu 30.61%
iter 249: loss 6.7650, time 758.39ms, mfu 30.61%
iter 250: loss 7.1514, time 760.00ms, mfu 30.61%
iter 251: loss 7.1062, time 757.23ms, mfu 30.62%
iter 252: loss 7.1073, time 761.63ms, mfu 30.60%
iter 253: loss 7.1208, time 759.41ms, mfu 30.60%
iter 254: loss 7.1240, time 757.84ms, mfu 30.61%
iter 255: loss 7.0960, time 761.63ms, mfu 30.60%
iter 256: loss 7.0646, time 758.04ms, mfu 30.60%
iter 257: loss 7.2445, time 759.59ms, mfu 30.60%
iter 258: loss 6.8771, time 759.46ms, mfu 30.60%
iter 259: loss 6.8575, time 758.59ms, mfu 30.60%
iter 260: loss 6.9925, time 761.14ms, mfu 30.59%
iter 261: loss 7.0046, time 758.38ms, mfu 30.59%
iter 262: loss 6.9808, time 759.08ms, mfu 30.60%
iter 263: loss 7.2720, time 758.07ms, mfu 30.60%
iter 264: loss 6.9623, time 760.48ms, mfu 30.59%
