step 0: train loss 11.0395, val loss 11.0398
iter 0: loss 11.0203, time 110601.07ms, mfu -100.00%
iter 1: loss 11.0136, time 127.01ms, mfu -100.00%
iter 2: loss 10.9653, time 2170.03ms, mfu -100.00%
iter 3: loss 10.9015, time 2121.99ms, mfu -100.00%
iter 4: loss 10.7771, time 2550.12ms, mfu -100.00%
iter 5: loss 10.6638, time 1774.51ms, mfu 13.87%
iter 6: loss 10.5470, time 2212.32ms, mfu 13.59%
iter 7: loss 10.3993, time 2138.60ms, mfu 13.39%
iter 8: loss 10.2598, time 2139.79ms, mfu 13.20%
iter 9: loss 10.2126, time 2211.87ms, mfu 12.99%
iter 10: loss 10.0159, time 2126.67ms, mfu 12.85%
iter 11: loss 9.8859, time 2171.48ms, mfu 12.70%
iter 12: loss 9.7418, time 2148.57ms, mfu 12.57%
iter 13: loss 9.7361, time 2232.15ms, mfu 12.42%
iter 14: loss 9.7336, time 2083.28ms, mfu 12.36%
iter 15: loss 9.6047, time 2180.40ms, mfu 12.25%
iter 16: loss 9.5472, time 2177.55ms, mfu 12.16%
iter 17: loss 9.4652, time 2165.51ms, mfu 12.08%
iter 18: loss 9.3671, time 2541.61ms, mfu 11.84%
iter 19: loss 9.2908, time 1802.66ms, mfu 12.02%
iter 20: loss 9.3571, time 2477.19ms, mfu 11.81%
iter 21: loss 9.3302, time 1817.47ms, mfu 11.98%
iter 22: loss 9.3742, time 2151.07ms, mfu 11.93%
iter 23: loss 9.3034, time 2197.22ms, mfu 11.86%
iter 24: loss 9.1613, time 2159.78ms, mfu 11.81%
iter 25: loss 9.1486, time 2198.50ms, mfu 11.75%
iter 26: loss 9.2083, time 2110.14ms, mfu 11.74%
iter 27: loss 9.0645, time 2290.53ms, mfu 11.64%
iter 28: loss 9.2035, time 2007.12ms, mfu 11.70%
iter 29: loss 9.1315, time 2152.06ms, mfu 11.68%
iter 30: loss 9.1401, time 2166.05ms, mfu 11.64%
iter 31: loss 9.2153, time 2156.81ms, mfu 11.62%
iter 32: loss 9.0361, time 2305.07ms, mfu 11.53%
iter 33: loss 9.1194, time 2015.32ms, mfu 11.59%
iter 34: loss 9.0659, time 2291.76ms, mfu 11.51%
iter 35: loss 9.0816, time 2052.92ms, mfu 11.56%
iter 36: loss 9.0650, time 2162.80ms, mfu 11.54%
iter 37: loss 9.0524, time 2142.12ms, mfu 11.53%
iter 38: loss 9.1092, time 2163.91ms, mfu 11.52%
iter 39: loss 9.0659, time 2181.06ms, mfu 11.49%
iter 40: loss 9.0307, time 2163.25ms, mfu 11.48%
iter 41: loss 9.1120, time 2188.41ms, mfu 11.46%
iter 42: loss 9.1219, time 2098.71ms, mfu 11.49%
iter 43: loss 9.1066, time 2185.69ms, mfu 11.46%
iter 44: loss 9.0744, time 2162.41ms, mfu 11.45%
iter 45: loss 9.0256, time 2155.20ms, mfu 11.45%
iter 46: loss 9.0665, time 2163.35ms, mfu 11.44%
iter 47: loss 8.9368, time 2178.20ms, mfu 11.43%
iter 48: loss 9.0440, time 2183.47ms, mfu 11.41%
iter 49: loss 8.9970, time 2170.87ms, mfu 11.41%
iter 50: loss 8.9679, time 2169.66ms, mfu 11.40%
iter 51: loss 9.0620, time 2153.50ms, mfu 11.40%
iter 52: loss 8.9937, time 2179.34ms, mfu 11.39%
iter 53: loss 8.9338, time 2441.68ms, mfu 11.26%
iter 54: loss 8.9484, time 1883.63ms, mfu 11.44%
iter 55: loss 9.1180, time 2350.00ms, mfu 11.34%
iter 56: loss 8.9003, time 1986.55ms, mfu 11.45%
iter 57: loss 8.9142, time 2142.50ms, mfu 11.45%
iter 58: loss 9.0010, time 2156.72ms, mfu 11.45%
iter 59: loss 8.9441, time 2158.99ms, mfu 11.44%
iter 60: loss 8.9920, time 2140.04ms, mfu 11.45%
iter 61: loss 8.8595, time 2177.94ms, mfu 11.43%
iter 62: loss 8.9092, time 2309.36ms, mfu 11.36%
iter 63: loss 8.9338, time 2007.86ms, mfu 11.45%
iter 64: loss 8.8729, time 2134.28ms, mfu 11.45%
iter 65: loss 8.8334, time 2177.73ms, mfu 11.44%
iter 66: loss 8.8710, time 2178.08ms, mfu 11.42%
iter 67: loss 8.9029, time 2476.88ms, mfu 11.28%
iter 68: loss 8.8156, time 1847.63ms, mfu 11.48%
iter 69: loss 8.9151, time 2465.93ms, mfu 11.33%
iter 70: loss 8.8285, time 1852.80ms, mfu 11.53%
iter 71: loss 8.8311, time 2242.57ms, mfu 11.47%
iter 72: loss 8.7641, time 2058.76ms, mfu 11.52%
iter 73: loss 8.9131, time 2134.35ms, mfu 11.52%
iter 74: loss 8.7545, time 2155.56ms, mfu 11.51%
iter 75: loss 8.7597, time 2182.87ms, mfu 11.49%
iter 76: loss 8.8035, time 2458.75ms, mfu 11.34%
iter 77: loss 8.8955, time 1846.98ms, mfu 11.54%
iter 78: loss 8.7596, time 2142.54ms, mfu 11.53%
iter 79: loss 8.8957, time 2191.95ms, mfu 11.50%
iter 80: loss 8.7847, time 2282.87ms, mfu 11.43%
iter 81: loss 8.7471, time 2042.53ms, mfu 11.49%
iter 82: loss 8.6927, time 2300.47ms, mfu 11.41%
