step 0: train loss 11.0393, val loss 11.0395
iter 0: loss 11.0210, time 120915.82ms, mfu -100.00%
iter 1: loss 11.0011, time 147.28ms, mfu -100.00%
iter 2: loss 10.9618, time 2630.42ms, mfu -100.00%
iter 3: loss 10.8902, time 2580.40ms, mfu -100.00%
iter 4: loss 10.8132, time 2831.34ms, mfu -100.00%
iter 5: loss 10.6659, time 2301.41ms, mfu 12.48%
iter 6: loss 10.5276, time 2852.49ms, mfu 12.23%
iter 7: loss 10.4099, time 2326.17ms, mfu 12.25%
iter 8: loss 10.3117, time 2715.16ms, mfu 12.08%
iter 9: loss 10.1140, time 2445.70ms, mfu 12.04%
iter 10: loss 10.0093, time 2643.08ms, mfu 11.93%
iter 11: loss 9.9015, time 2523.90ms, mfu 11.87%
iter 12: loss 9.7923, time 2582.39ms, mfu 11.80%
iter 13: loss 9.6780, time 2590.88ms, mfu 11.72%
iter 14: loss 9.6494, time 2573.86ms, mfu 11.67%
iter 15: loss 9.5690, time 2565.40ms, mfu 11.62%
iter 16: loss 9.5300, time 2584.61ms, mfu 11.57%
iter 17: loss 9.4518, time 2595.57ms, mfu 11.52%
iter 18: loss 9.4177, time 2557.10ms, mfu 11.49%
iter 19: loss 9.3365, time 2571.77ms, mfu 11.46%
iter 20: loss 9.3654, time 2582.44ms, mfu 11.42%
iter 21: loss 9.2649, time 2584.11ms, mfu 11.39%
iter 22: loss 9.2442, time 2598.84ms, mfu 11.36%
iter 23: loss 9.3159, time 2604.44ms, mfu 11.32%
iter 24: loss 9.2624, time 2605.77ms, mfu 11.29%
iter 25: loss 9.2602, time 2566.76ms, mfu 11.28%
iter 26: loss 9.1181, time 2569.71ms, mfu 11.27%
iter 27: loss 9.2266, time 2602.09ms, mfu 11.25%
iter 28: loss 9.1235, time 2562.53ms, mfu 11.24%
iter 29: loss 9.0719, time 2575.51ms, mfu 11.23%
iter 30: loss 9.2068, time 2594.82ms, mfu 11.22%
iter 31: loss 9.1389, time 2561.40ms, mfu 11.22%
iter 32: loss 9.1813, time 2561.17ms, mfu 11.22%
iter 33: loss 9.0842, time 2571.30ms, mfu 11.21%
iter 34: loss 9.0734, time 2602.48ms, mfu 11.19%
iter 35: loss 9.0751, time 2840.06ms, mfu 11.08%
iter 36: loss 9.0459, time 2343.75ms, mfu 11.20%
iter 37: loss 9.0969, time 2694.44ms, mfu 11.15%
iter 38: loss 9.0581, time 2421.40ms, mfu 11.22%
iter 39: loss 9.0467, time 2607.29ms, mfu 11.20%
iter 40: loss 9.1290, time 2579.95ms, mfu 11.19%
iter 41: loss 9.0268, time 2642.15ms, mfu 11.16%
iter 42: loss 9.0586, time 2468.48ms, mfu 11.21%
iter 43: loss 9.1423, time 2590.42ms, mfu 11.19%
iter 44: loss 9.0036, time 2546.54ms, mfu 11.20%
iter 45: loss 9.1477, time 2590.06ms, mfu 11.19%
iter 46: loss 9.0580, time 2566.78ms, mfu 11.19%
iter 47: loss 9.0319, time 2576.55ms, mfu 11.18%
iter 48: loss 9.0176, time 2570.92ms, mfu 11.18%
iter 49: loss 8.9340, time 2570.43ms, mfu 11.18%
iter 50: loss 8.9834, time 2561.24ms, mfu 11.18%
iter 51: loss 9.0234, time 2585.61ms, mfu 11.18%
iter 52: loss 9.1483, time 2591.72ms, mfu 11.17%
iter 53: loss 8.9884, time 2563.89ms, mfu 11.17%
iter 54: loss 9.0019, time 2604.09ms, mfu 11.16%
iter 55: loss 9.0622, time 2568.21ms, mfu 11.16%
iter 56: loss 8.9970, time 2584.32ms, mfu 11.15%
iter 57: loss 8.8751, time 2607.34ms, mfu 11.14%
iter 58: loss 8.8846, time 2590.33ms, mfu 11.13%
iter 59: loss 8.9285, time 2589.57ms, mfu 11.13%
iter 60: loss 8.9941, time 2575.67ms, mfu 11.13%
iter 61: loss 8.9581, time 2605.63ms, mfu 11.12%
iter 62: loss 8.8274, time 2613.66ms, mfu 11.11%
iter 63: loss 8.9558, time 2547.00ms, mfu 11.12%
iter 64: loss 8.8590, time 2607.21ms, mfu 11.11%
iter 65: loss 8.9262, time 2611.45ms, mfu 11.10%
iter 66: loss 8.8682, time 2858.96ms, mfu 10.99%
iter 67: loss 9.0640, time 2321.82ms, mfu 11.13%
iter 68: loss 8.8231, time 2848.82ms, mfu 11.03%
iter 69: loss 8.7969, time 2321.22ms, mfu 11.16%
iter 70: loss 8.7524, time 2605.67ms, mfu 11.15%
iter 71: loss 8.8521, time 2580.63ms, mfu 11.14%
iter 72: loss 8.7782, time 2667.94ms, mfu 11.11%
iter 73: loss 8.8284, time 2503.41ms, mfu 11.14%
iter 74: loss 8.7673, time 2593.08ms, mfu 11.14%
iter 75: loss 8.7879, time 2563.09ms, mfu 11.14%
iter 76: loss 8.7948, time 2576.24ms, mfu 11.14%
iter 77: loss 8.7490, time 2622.05ms, mfu 11.12%
iter 78: loss 8.7514, time 2582.39ms, mfu 11.12%
iter 79: loss 8.6854, time 2554.08ms, mfu 11.13%
iter 80: loss 8.7574, time 2566.89ms, mfu 11.14%
iter 81: loss 8.7446, time 2592.63ms, mfu 11.13%
iter 82: loss 8.8365, time 2584.69ms, mfu 11.13%
iter 83: loss 8.8079, time 2606.74ms, mfu 11.12%
iter 84: loss 8.7340, time 2572.54ms, mfu 11.12%
iter 85: loss 8.7366, time 2577.58ms, mfu 11.12%
