step 0: train loss 11.0828, val loss 11.0829
iter 0: loss 11.0710, time 105010.27ms, mfu -100.00%
iter 1: loss 11.0574, time 196.59ms, mfu -100.00%
iter 2: loss 10.9866, time 875.99ms, mfu -100.00%
iter 3: loss 10.8950, time 843.32ms, mfu -100.00%
iter 4: loss 10.8189, time 843.36ms, mfu -100.00%
iter 5: loss 10.7147, time 844.11ms, mfu 31.28%
iter 6: loss 10.5322, time 844.45ms, mfu 31.28%
iter 7: loss 10.4356, time 846.81ms, mfu 31.27%
iter 8: loss 10.2473, time 845.55ms, mfu 31.27%
iter 9: loss 10.1420, time 845.51ms, mfu 31.26%
iter 10: loss 10.0488, time 844.91ms, mfu 31.26%
iter 11: loss 9.9221, time 845.39ms, mfu 31.26%
iter 12: loss 9.7939, time 844.67ms, mfu 31.26%
iter 13: loss 9.6747, time 846.24ms, mfu 31.26%
iter 14: loss 9.6388, time 844.45ms, mfu 31.26%
iter 15: loss 9.5596, time 846.08ms, mfu 31.25%
iter 16: loss 9.4490, time 844.98ms, mfu 31.25%
iter 17: loss 9.4924, time 844.31ms, mfu 31.25%
iter 18: loss 9.3839, time 844.89ms, mfu 31.25%
iter 19: loss 9.3560, time 844.51ms, mfu 31.26%
iter 20: loss 9.3122, time 846.97ms, mfu 31.25%
iter 21: loss 9.3233, time 846.37ms, mfu 31.24%
iter 22: loss 9.2670, time 864.21ms, mfu 31.17%
iter 23: loss 9.1298, time 846.00ms, mfu 31.18%
iter 24: loss 9.2337, time 846.78ms, mfu 31.18%
iter 25: loss 9.2573, time 844.65ms, mfu 31.19%
iter 26: loss 9.2480, time 848.47ms, mfu 31.18%
iter 27: loss 9.1721, time 846.11ms, mfu 31.18%
iter 28: loss 9.1302, time 849.26ms, mfu 31.17%
iter 29: loss 9.1534, time 845.54ms, mfu 31.18%
iter 30: loss 9.0775, time 846.10ms, mfu 31.18%
iter 31: loss 9.1656, time 846.33ms, mfu 31.19%
iter 32: loss 9.1206, time 850.34ms, mfu 31.17%
iter 33: loss 9.0353, time 865.89ms, mfu 31.10%
iter 34: loss 9.1815, time 867.42ms, mfu 31.04%
iter 35: loss 9.1389, time 863.12ms, mfu 30.99%
iter 36: loss 9.0365, time 847.05ms, mfu 31.01%
iter 37: loss 9.1991, time 849.15ms, mfu 31.02%
iter 38: loss 9.1241, time 846.37ms, mfu 31.04%
iter 39: loss 9.1493, time 844.65ms, mfu 31.06%
iter 40: loss 9.1367, time 849.43ms, mfu 31.06%
iter 41: loss 9.0916, time 846.15ms, mfu 31.08%
iter 42: loss 9.0874, time 847.31ms, mfu 31.09%
iter 43: loss 9.1079, time 846.15ms, mfu 31.10%
iter 44: loss 9.0519, time 845.96ms, mfu 31.11%
iter 45: loss 9.0981, time 847.12ms, mfu 31.12%
iter 46: loss 9.0283, time 847.77ms, mfu 31.12%
iter 47: loss 8.9940, time 849.90ms, mfu 31.11%
iter 48: loss 9.0594, time 862.72ms, mfu 31.06%
iter 49: loss 8.9676, time 847.11ms, mfu 31.07%
iter 50: loss 9.0011, time 846.01ms, mfu 31.09%
iter 51: loss 9.0899, time 847.07ms, mfu 31.10%
iter 52: loss 8.9435, time 846.74ms, mfu 31.11%
iter 53: loss 8.9367, time 846.20ms, mfu 31.12%
iter 54: loss 8.9197, time 845.36ms, mfu 31.13%
iter 55: loss 8.9464, time 845.40ms, mfu 31.14%
iter 56: loss 8.8491, time 846.54ms, mfu 31.14%
iter 57: loss 8.9677, time 845.84ms, mfu 31.15%
iter 58: loss 8.9676, time 844.62ms, mfu 31.16%
iter 59: loss 8.9762, time 846.06ms, mfu 31.17%
iter 60: loss 8.9347, time 845.95ms, mfu 31.17%
iter 61: loss 8.8797, time 845.69ms, mfu 31.18%
iter 62: loss 8.9187, time 846.15ms, mfu 31.18%
iter 63: loss 8.8589, time 845.80ms, mfu 31.18%
iter 64: loss 8.9119, time 844.20ms, mfu 31.19%
iter 65: loss 8.8285, time 847.32ms, mfu 31.19%
iter 66: loss 8.8693, time 846.20ms, mfu 31.19%
iter 67: loss 8.8433, time 847.34ms, mfu 31.19%
iter 68: loss 8.9923, time 846.20ms, mfu 31.19%
iter 69: loss 8.8812, time 847.05ms, mfu 31.19%
iter 70: loss 9.0555, time 847.50ms, mfu 31.19%
iter 71: loss 8.7734, time 846.18ms, mfu 31.19%
iter 72: loss 8.7660, time 847.45ms, mfu 31.19%
iter 73: loss 8.8836, time 846.85ms, mfu 31.19%
