step 0: train loss 11.0828, val loss 11.0829
iter 0: loss 11.0741, time 167204.06ms, mfu -100.00%
iter 1: loss 11.0576, time 320.58ms, mfu -100.00%
iter 2: loss 10.9892, time 1371.65ms, mfu -100.00%
iter 3: loss 10.9236, time 1355.39ms, mfu -100.00%
iter 4: loss 10.8270, time 1471.89ms, mfu -100.00%
iter 5: loss 10.6941, time 1359.86ms, mfu 32.36%
iter 6: loss 10.5440, time 1359.78ms, mfu 32.36%
iter 7: loss 10.4183, time 1357.70ms, mfu 32.37%
iter 8: loss 10.2703, time 1477.72ms, mfu 32.11%
iter 9: loss 10.1449, time 1357.08ms, mfu 32.14%
iter 10: loss 10.0019, time 1459.42ms, mfu 31.94%
iter 11: loss 9.9147, time 1465.97ms, mfu 31.75%
iter 12: loss 9.7695, time 1381.76ms, mfu 31.76%
iter 13: loss 9.6512, time 1360.10ms, mfu 31.82%
iter 14: loss 9.6507, time 1357.38ms, mfu 31.88%
iter 15: loss 9.5923, time 1425.74ms, mfu 31.78%
iter 16: loss 9.4661, time 1389.08ms, mfu 31.77%
iter 17: loss 9.5021, time 1648.21ms, mfu 31.26%
iter 18: loss 9.4766, time 1406.94ms, mfu 31.27%
iter 19: loss 9.4103, time 1391.07ms, mfu 31.30%
