step 0: train loss 11.0829, val loss 11.0831
iter 0: loss 11.0724, time 186836.74ms, mfu -100.00%
iter 1: loss 11.0372, time 370.33ms, mfu -100.00%
iter 2: loss 10.9939, time 1566.86ms, mfu -100.00%
iter 3: loss 10.9063, time 1570.74ms, mfu -100.00%
iter 4: loss 10.8051, time 1555.05ms, mfu -100.00%
iter 5: loss 10.6987, time 1554.08ms, mfu 32.57%
iter 6: loss 10.5662, time 1553.30ms, mfu 32.57%
iter 7: loss 10.4012, time 1555.34ms, mfu 32.57%
iter 8: loss 10.2434, time 1556.16ms, mfu 32.56%
iter 9: loss 10.1382, time 1560.72ms, mfu 32.55%
iter 10: loss 9.9766, time 1556.27ms, mfu 32.55%
iter 11: loss 9.8642, time 1662.76ms, mfu 32.34%
iter 12: loss 9.7778, time 1584.95ms, mfu 32.30%
iter 13: loss 9.6943, time 1555.97ms, mfu 32.32%
iter 14: loss 9.6237, time 1559.57ms, mfu 32.33%
iter 15: loss 9.6255, time 1562.82ms, mfu 32.34%
iter 16: loss 9.4861, time 1558.46ms, mfu 32.35%
iter 17: loss 9.4517, time 1561.35ms, mfu 32.36%
iter 18: loss 9.4206, time 1621.61ms, mfu 32.24%
iter 19: loss 9.3656, time 1588.90ms, mfu 32.20%
iter 20: loss 9.4115, time 1557.89ms, mfu 32.23%
iter 21: loss 9.3483, time 1559.61ms, mfu 32.25%
iter 22: loss 9.2752, time 1559.16ms, mfu 32.28%
iter 23: loss 9.2468, time 1562.68ms, mfu 32.29%
iter 24: loss 9.2109, time 1559.21ms, mfu 32.30%
iter 25: loss 9.1934, time 1560.49ms, mfu 32.32%
iter 26: loss 9.2529, time 1560.94ms, mfu 32.33%
iter 27: loss 9.1327, time 1724.93ms, mfu 32.03%
iter 28: loss 9.1362, time 1600.14ms, mfu 31.99%
iter 29: loss 9.1414, time 1559.81ms, mfu 32.03%
iter 30: loss 9.1088, time 1557.70ms, mfu 32.08%
iter 31: loss 9.1341, time 1560.76ms, mfu 32.12%
iter 32: loss 9.0921, time 1563.30ms, mfu 32.14%
iter 33: loss 9.1179, time 1558.68ms, mfu 32.17%
iter 34: loss 9.1679, time 1589.25ms, mfu 32.14%
iter 35: loss 9.0883, time 1594.45ms, mfu 32.10%
iter 36: loss 9.0671, time 1559.23ms, mfu 32.14%
iter 37: loss 9.0938, time 1582.16ms, mfu 32.12%
iter 38: loss 9.0715, time 1598.75ms, mfu 32.08%
iter 39: loss 9.0796, time 1558.89ms, mfu 32.12%
iter 40: loss 9.0394, time 1559.16ms, mfu 32.15%
iter 41: loss 9.0702, time 1559.20ms, mfu 32.18%
iter 42: loss 9.0408, time 1559.48ms, mfu 32.21%
iter 43: loss 9.0650, time 1564.67ms, mfu 32.22%
iter 44: loss 8.9979, time 1561.30ms, mfu 32.24%
iter 45: loss 9.0463, time 1564.20ms, mfu 32.25%
iter 46: loss 9.0291, time 1695.68ms, mfu 32.01%
iter 47: loss 9.0782, time 1592.43ms, mfu 31.99%
iter 48: loss 9.0447, time 1559.68ms, mfu 32.04%
iter 49: loss 9.0720, time 1564.14ms, mfu 32.07%
iter 50: loss 9.1037, time 1564.84ms, mfu 32.10%
iter 51: loss 9.0621, time 1566.61ms, mfu 32.12%
iter 52: loss 8.9712, time 1562.21ms, mfu 32.14%
iter 53: loss 9.0956, time 1566.04ms, mfu 32.16%
iter 54: loss 8.9820, time 1564.43ms, mfu 32.18%
iter 55: loss 9.0121, time 1565.33ms, mfu 32.20%
iter 56: loss 8.9614, time 1607.67ms, mfu 32.12%
iter 57: loss 9.0030, time 1596.94ms, mfu 32.08%
iter 58: loss 9.0423, time 1564.80ms, mfu 32.11%
iter 59: loss 8.9092, time 1568.10ms, mfu 32.12%
iter 60: loss 8.9061, time 1566.49ms, mfu 32.14%
iter 61: loss 8.9051, time 1566.83ms, mfu 32.16%
iter 62: loss 8.8600, time 1565.25ms, mfu 32.18%
iter 63: loss 9.0231, time 1565.58ms, mfu 32.19%
iter 64: loss 8.9040, time 1567.97ms, mfu 32.20%
iter 65: loss 8.9267, time 1671.99ms, mfu 32.01%
iter 66: loss 8.8467, time 1614.37ms, mfu 31.94%
iter 67: loss 8.8979, time 1566.74ms, mfu 31.98%
iter 68: loss 8.9393, time 1567.76ms, mfu 32.01%
iter 69: loss 8.9127, time 1566.07ms, mfu 32.04%
iter 70: loss 8.8242, time 1569.07ms, mfu 32.06%
iter 71: loss 8.8611, time 1568.06ms, mfu 32.08%
iter 72: loss 8.8629, time 1569.31ms, mfu 32.10%
iter 73: loss 8.8048, time 1570.54ms, mfu 32.11%
iter 74: loss 8.8174, time 1567.83ms, mfu 32.13%
iter 75: loss 8.7971, time 1598.22ms, mfu 32.08%
iter 76: loss 8.8713, time 1603.83ms, mfu 32.03%
iter 77: loss 8.7445, time 1567.51ms, mfu 32.06%
iter 78: loss 8.7050, time 1567.48ms, mfu 32.08%
